爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1676446214,309352734,1004904795,730732,评分7.4！回光返照or同行衬托！诚实吐槽柯南M25万圣节的新娘！,瓶子君152,1676200287,1676200287,879,点个关注再走哦~,动漫杂谈,253,11,动漫杂谈;灰原哀;名侦探柯南;搞笑;柯南;安室透;柯南剧场版;M25;万圣节的新娘;动画嘉年华2023·灼夜花火;追番大作战,530918;19539;8881;1833;1068;215533;226940;9573528;22897414;33683785;33684728,38761,4988,0,16128,19,105333,2670,5946,1226049,1,0,无,无,无
1676446226,266857267,1006240167,486287787,卖伞是怎么做到行业第一的？国货之光有多神秘？天堂伞30年发展史【暗中观察277】IC实验室,IC实验室,1676345700,1676287882,709,"有时候品牌的对手并不只是同行，还有老天爷。

参考资料：
《退休老人用2000元创业，做伞一年卖了24亿》中国企业家杂志
《中国最好的伞 出自天堂人之手》品牌建设
《消费| 一把200元的防晒伞是不是智商税？蕉下攒了一个上市局，华兴高位接了红杉蜂巧的盘》财智生活
《一年生产6亿把雨伞的“中国伞城”，输给了不生产雨伞的“蕉下”？》财经无忌
《天堂伞：30年老品牌的自我蜕变》金麦奖",人文历史,228,11,人文;趣闻;冷知识;国货;历史;财经;商业;消费;互联网;雨伞;历史人文档案馆,40737;6874;47996;49951;221;66849;251524;587346;23901;194645;24687523,737,1235,0,2136,0,11851,726,171,202230,1,0,无,无,无
1676446234,906648719,1003136136,406636263,试吃冰岛腌海雀！臭味秒杀鲱鱼罐头！到底有多恐怖？,HOLA小测佬,1676109600,1676102849,342,为了能在冰岛极端的气候环境里生存下去，冰岛人从几百年前开始就有了把大西洋海雀作为食物的传统。为了解决冬天没有食物的问题，生活在北极的当地人会把夏天抓到的海雀直接塞进海豹肚子里，利用海豹的胃酸进行发酵保存，海雀完全没有处理过，既没有去内脏，也没有拔毛，经过6到12个月发酵的腌海雀，据说它的味道非常刺激！被称为世界上最恐怖的食物！冰岛腌海雀到底是什么味道的？究竟有多恐怖？今天就跟小测一起去一探究竟！,美食侦探,212,10,美食;奇葩;冰岛;试吃;吃货;测评;环球旅行;探店;腌海雀;天南海北家乡味,20215;19878;149120;490608;6942;72003;504597;1469519;5922452;33105243,28187,6672,0,9301,47,99653,1579,4995,1188827,1,0,无,无,无
1676446246,694350722,1006855148,1920253,香港电影竟如此丧心病狂37：兄弟三人，神作二连，成龙与洪金宝谁更强,王知无,1676319756,1676319756,1268,,影视杂谈,182,4,洪金宝;香港电影;成龙;影娱新春游园会,67700;56495;7950;33364628,10892,2460,0,3591,0,22288,909,359,373724,1,0,哈罗德,,哈罗德
1676446258,609136406,1003110752,43611197,本来还挺喜欢剥线钳的...【梗文梗图系列04】,比比老师,1676109600,1676102919,643,"【梗文梗图系列04】，希望可以给你们带来开心喔~
喜欢这个视频请点赞！！！！",搞笑,138,11,万恶之源;脱口秀;梗;高能;搞笑;原创;吐槽;段子;搞笑图片;搞笑研究所;搞笑研究所2023,21;4346;179931;7729;1833;536;792;222809;237619;23649527;35027528,8784,11254,0,12319,45,111571,1035,2238,1313145,1,0,无,无,无
1676446269,566778253,1005048782,1137066730,难怪高启强会把猪脚面的汤喝完！原来...,牢头养猪记,1676257200,1676209624,429,老板！再来一碗猪脚面～,田园美食,214,10,美食;美食制作;戴佳伟;高启强;分享新年开工后的美食;狂飙;异灵术;田园美食;猪脚面;天南海北家乡味,20215;562935;11559932;29755462;34722453;20496;3737600;4144294;4570806;33105243,15069,1343,0,2072,0,22426,717,973,296668,1,0,无,无,无
1676446280,481723428,1001262268,407054668,一杆进七个！当九球天后遇上高速摄影机，谁会更胜一筹？,亿点点不一样,1676019600,1675999022,352,这次我又拿起了超高速摄影机，向中国九球天后-潘晓婷发起挑战！当高超杆法遇上超高速摄影机，究竟谁会更胜一筹？制作不易，求个三连！！！,野生技能协会,122,10,体育;世界冠军;科技;4K;运动;台球;潘晓婷;花式九球;亿点点不一样;技能提升营,41103;26343;13807;206943;4078;15414;316006;8907716;21195596;24687450,72222,6685,0,42746,3,417800,1954,16754,4306163,1,1,无,无,无
1676446289,309358596,1005912498,478691043,新一代“网红山寨按斤称零食”来袭！究竟值不值？？？,穿毛裤的小拉泽,1676281200,1676269659,484,大家在购买这种按斤称零食的时候，最好过过数或者称下重，因为很容易缺斤少两。本期无广，真实测评分享。如果大家觉得对你有用，麻烦三连支持下，万分感谢！ 注：封神榜>名士榜>凡人榜>妖魔榜 美食测评千人千味，榜单仅供参考！,美食测评,213,11,美食;种草大作战;试吃;零食;小吃;种草;按斤称零食;爆款零食;网红零食;网红美食;召集令游乐场,20215;17208819;490608;19703;56406;1128093;23628369;2757865;2930810;3171798;34763722,11793,2147,0,2644,0,42421,560,412,538574,1,0,无,无,无
1676446297,991778204,1007885724,1217628212,情人节送ta一朵特别的花？,Thurman猫一杯,1676378140,1676378140,70,-,搞笑,138,4,原创;情人节;“遇见你，怦然心动”2023情人节活动;又是一年情人节,536;16869;35076622;35483426,1580,235,0,879,0,31882,585,745,231781,1,0,无,无,无
1676446306,309144851,1002872456,14110780,狂飙嘴形对不上，电视剧拍不了的，小说能给出答案,凉风Kaze,1676023200,1676016504,607,"看完狂飙连夜肝完小说
更多活的凉风可以来直播间：http://live.bilibili.com/942101
求三连！
求三连！
求三连！
求三连！
求三连！
求三连！
求三连！
求三连！
求三连！",影视杂谈,182,12,影评;剧情;电视剧;对比;杂谈;吐槽;张颂文;删减;狂飙;凉风Kaze;新剧好剧一起看;影娱新春游园会,111377;17046;23964;6080;114949;792;460092;169194;20496;7120466;32998285;33364628,4219,1205,0,4264,0,60065,1279,2306,838616,1,0,无,无,无
1676446316,821678749,1002322721,11336264,苹果最值得买的产品竟然是？！Apple TV【值不值得买第582期】,TESTV官方频道,1676001594,1676001594,806,"没想到，1000块买到A15，买前我觉得用不到它，用了几个月根本离不开！
想知道更多关于 Apple TV 更（不）详（好）细（讲）的使用方法，可以去X发电和我们交流噢
投票链接：https://wj.qq.com/s2/11656310/aeb3
================
TESTV 会一直站在消费者角度，强调体验不恰饭，真诚敢说不专业，生活优先，数码有限。
感谢铁丝朋友们，支持我们三条腿走路：
· 一键三连 
· 用心感受，用爱发电～ 
· TESTV官方淘宝店：https://shop409203785.taobao.com",数码,95,10,数码;种草大作战;苹果;智能家居;值不值得买;TV;Apple;AppleTV;影音体验;召集令游乐场,16906;17208819;4314;438563;1215316;4751;2520324;3129260;8421869;34763722,20720,3378,0,9799,0,33071,2064,5132,621198,1,0,无,无,无
1676446326,779355716,1006628274,111095065,当你打破规则时 你将凌驾于规则之上,黑旗团队,1676300922,1676300923,63,,小剧场,85,3,B站小剧场;#卯兔迎春小剧场;B站小剧场·新春放映会,17655328;33634523;33421257,8081,1539,0,4755,81,123088,1994,3375,1290807,1,0,无,无,无
1676446335,864082513,1000503673,586789337,想通了这些，我不再道德绑架自己,我叫孙火旺,1675942088,1675942088,253,去他的！干了再说,搞笑,138,10,搞笑;奇葩;逗比;孙火旺;理想;抽象;目标;沙雕;搞笑研究所;搞笑研究所2023,1833;19878;13926;18257423;123840;113843;103312;421428;23649527;35027528,11619,1912,0,2559,0,56615,1386,2576,621802,1,0,无,无,无
1676446345,394305308,1004784813,313556,【狂飙番外】平行时空：我只想给京海人完整的一生,逆转的桥,1676196232,1676196232,179,-,影视剪辑,183,12,李响;安欣;高启盛;高启强;高启兰;张译;张颂文;狂飙;李一桐;高叶;新剧好剧一起看;影娱新春游园会,189230;11601888;23801380;29755462;34693591;77556;460092;20496;1756757;3357209;32998285;33364628,96435,2464,0,59191,8,133615,3650,38565,1325548,1,0,无,无,无
1676446354,991822283,1005702395,10579922,"【剧情手书】""你是最真挚的信徒，却未将信仰托与良人""'||双向救赎 be美学",宛倾然,1676284080,1676264636,121,"因为各种原因拖到现在才制作完成，久等了大家【土下座】【在地上滚来滚去】【哐哐磕头】

分镜脚本：且且/山誓
原画绘制：纟工色鱼非鱼/朔北/嘉嘉/哇叽
视频制作：希图欧/Mission

※场景动作等元素含参考

Bgm：East of Eden-Zella Day",短片·手书·配音,47,10,手机游戏;手书;娱乐;剧情向;哈利波特魔法觉醒;哈利波特;be美学;不渝之爱;玩转自由;East of Eden,3007;608;3221;25638;12238584;8964;13179626;20899515;34613174;2581334,5015,129,0,13204,0,24549,256,1208,193470,1,1,无,无,无
1676446359,436686617,1003305692,107076367,流浪地球令人疑惑的三秒镜头，却让刘德华出了两千五百万,老王忆经典,1676109255,1676109255,127,,影视杂谈,182,3,刘德华;影评杂谈;共赴流浪地球2新春之旅,28421;1612425;33203609,935,290,0,2396,0,54369,543,513,738629,1,0,无,无,无
1676446364,351744979,1003265447,65436709,⚡狂飙，但是全员押韵⚡,不会鬼畜的困受,1676108148,1676108148,91,"素材：狂飙
BGM：Remember The Name
狂飙真是太好看了，做个鬼畜开心一下，光是素材就弄了好久，喜欢的同学三连支持一下吧，谢谢惹！",鬼畜调教,22,10,鬼畜;搞笑;安欣;高启强;疯驴子;张译;影视;狂飙;徐江;鬼畜星探企划,68;1833;11601888;29755462;34307753;77556;11323;20496;2643048;16637150,24564,492,0,28070,52,103149,728,20094,1440232,1,0,无,无,无
1676446373,694140609,1003490392,494838135,终于没有以倭代华了，粗布麻衣烟雨江南，实景拍摄无滤镜看着太顺眼了，张若昀太会挑剧本了,在村口等小宇的香菜,1676118042,1676118042,94,显微镜下的大明,影视剪辑,183,9,风景;江南;张若昀;影视剪辑;粗布麻衣;显微镜下的大明;以倭代华;影娱新春游园会;0.5倍速看显微镜下的大明,542;65695;840163;318570;22423529;10090527;20690403;33364628;35338012,2017,700,0,5856,0,33911,974,1548,269263,1,0,无,无,无
1676446384,524261971,1007653422,1095810839,情人节这天把女朋友整哭了是什么体验,神经酋长,1676369292,1676369292,849,嚯嚯 惊喜大成功！！,搞笑,138,8,情侣;美女;生活记录;惊喜;情人节;可爱女友;情人节怎么过;“遇见你，怦然心动”2023情人节活动,66611;2504;1057109;72174;16869;4116104;6710954;35076622,2356,591,0,1373,0,7319,280,994,138377,1,0,别在我手机里哭,,别在我手机里哭
1676446389,481638785,1003216183,3493123483241430,这方法确实不择手段，你敢学，分数就敢回答,睡不醒的平盖尔,1676108395,1676108395,897,"上一条视频发布了我去年付费的语文的思维课程，有相关需求的同学可以移步上一条视频
心法和方法缺一不可，我能做到的就是保证你们心法通畅的情况下，拥有更为正确的方法",校园学习,208,8,逆袭;学习;教育;考试;高考;高中;方法;分数,42009;13160;4149;8859;8740;12729;25554;1419008,6244,924,0,17184,0,17152,999,2074,198467,1,0,无,无,无
1676446399,949165950,1004475353,601599567,最不像地球人的科学大神 尼古拉.特斯拉,不嘚瑟都掉毛,1676192400,1676185451,756,-,科学科普,201,1,人文,40737,8756,3729,0,4402,0,39557,1500,1372,850205,1,0,https://b23.tv/cm-huahuo-0-3Cckp,,iPhone系列直降千元，点击领取粉丝专属福利！
1676446410,864242861,1003761701,1040409084,安警官   我想劫个狱,源赖氏虾饺,1676129273,1676129273,143,,鬼畜剧场,216,8,搞笑;安欣;高启强;狂飙电视剧;狂飙;张颂文;鬼畜星探企划;狂飙，但是鬼畜,1833;11601888;29755462;34357436;20496;460092;16637150;35193513,1282,356,0,3620,0,17111,205,2667,253692,1,0,无,无,无
1676446415,821626379,1003063458,397196950,好日子2.0，全员阵容。没点才艺，谁跟你飙啊。,奇拉比yeah,1676098977,1676098977,96,之前被下了，再补发一次。喜欢看的，且看且珍惜吧，手慢无,影视剪辑,183,3,影视剪辑;新剧好剧一起看;影娱新春游园会,318570;32998285;33364628,4389,274,0,3214,0,13149,269,5355,252909,1,0,无,无,无
1676446422,949010874,997930787,9841658,心动了！工资可是1500呀！！,是莫叔叔吗,1675915200,1675784065,212,"请选择你的英雄：
800的设计师助理
1500的洗鞋（包饭还有提成）
选择的权力给到大家
不好意思，我是个俗人，我选择洗鞋",搞笑,138,8,脱口秀;吐槽;大学生;社畜;设计师;莫宝;开工崩溃瞬间;搞笑研究所2023,4346;792;34356;452885;62240;8275909;34812234;35027528,6780,1299,0,3060,0,58331,3009,7517,870906,1,0,无,无,无
1676446434,821636306,1003205842,1007043700,让你手抓饭，谁让你把命也抓着了！,世界美食official,1676118000,1676105705,179,"顾客A：都说味儿冲，具体是个什么冲法？
顾客B：手当其冲！",美食侦探,212,10,美食;街头美食;高能;美食侦探;世界美食official;路边摊;异域风情;手抓饭;传统美食;星计划,20215;1139423;7729;660189;26058795;1138007;14783;635666;1463059;1714538,3769,1514,0,1831,0,53904,1206,1804,683376,1,0,无,无,无
1676446447,436653857,1004012893,23197979,【原神动画】这玩意比神之眼好用多了,死桔子,1676121192,1676121192,481,癫疯对决！哒哒哒哒哒！木大木大木大木大！,手机游戏,172,7,手机游戏;原神UP主激励计划;JOJO;搞笑;动画;米哈游;原神,3007;18957190;14037;1833;358;1615271;7945544,53160,4209,0,37491,15,104875,1610,19589,1000294,1,0,无,无,无
1676446455,224007560,999222236,10321803,再见了，所有的中二病,斯坦德斯特Sdt,1675863296,1675863296,267,很粗糙的作品，感谢每一个愿意观看的人。,MAD·AMV,24,8,MAD.AMV;小鸟游六花;MAD;中二病也要谈恋爱;one last kiss;再见;动画短片群星计划;动画嘉年华2023·灼夜花火,485740;219796;281;138975;17873455;66579;25367425;33683785,8923,325,0,8663,0,18458,730,999,109485,1,0,无,无,无
1676446465,524095630,1001220447,21067876,叠 甲 圣 经,原无奇变,1675994748,1675994748,356,诸天神佛，如有冒犯，敬请宽恕。,搞笑,138,2,抽象;叠甲,113843;4602374,21021,1268,0,51689,15,149420,2841,18136,1335315,1,0,无,无,无
1676446474,991664202,1002732028,2067160,【未定事件簿】NXX不养闲人.....,Stefani董,1676083211,1676083211,122,"未名市令人闻风丧胆的nxx调查组，据说从来不养闲人。坊间传闻，几位成员都以代号相称，各个领域皆有涉猎。
当然，一个优秀的团队，必有几类人才，分别是.....
Bgm：This Is It
素材：未定事件簿
特别感谢：卷耳李小喵，七晰，小樱",GMV,121,10,GMV;乙女游戏;未定事件簿;左然;陆景和;莫弈;未定事件簿·故城黎明的回响;夏彦;国乙;未定事件簿·故城黎明的回响视频征集,25483;43755;11257693;11259409;11259414;11259416;33360395;7148040;16639997;33599838,10609,543,0,20423,0,41838,479,3306,162253,1,0,无,无,无
1676446481,479112860,999497188,700476683,中考前没发现我，你就亏大了,AU化学君,1675933200,1675891789,68,,校园学习,208,10,中考化学复习;中考化学;初三;初中;经验分享;初中化学;初三化学;学习心得;九年级化学;是老师，也是UP主！,11716145;1183130;141937;102798;634574;621438;1683172;3269802;4831680;34407075,3536,612,0,29000,0,70960,1195,919,471336,1,0,无,无,无
1676446490,779122540,999034358,5970160,鹅鸭傻,小潮院长,1675855738,1675855739,797,"希望观众老爷喜欢这个系列！
（希望你们喜欢，记得三连）",单机游戏,17,10,游戏;狼人杀;搞笑;小潮;高能;沙雕;小潮院长;小潮team;鹅鸭杀;推荐宝藏游戏,802;238261;1833;1035913;7729;421428;2789774;8139494;22014944;24855082,299582,32529,0,170707,1,582698,11569,30067,6642499,1,0,无,无,无
1676446500,949304518,1005758607,38568774,简单氪10万元全角色满命满精！三天深入体验后点评下崩铁这个游戏。,鬼叔黍,1676262624,1676262624,1588,-,手机游戏,172,5,手机游戏;氪金;二次元;崩坏星穹铁道;崩坏星穹铁道三测,3007;12940;1907;21766990;34665678,3757,1706,0,1185,0,21394,1959,1821,393373,1,0,无,无,无
1676446512,224075840,1001128518,3493133874628787,“你就是我重回巅峰的勇气！”,补云Cut,1676004660,1675991432,100,,影视剪辑,183,2,励志;洛奇,976;2478,4227,121,0,6460,0,28236,254,203,249779,1,0,无,无,无
1676446516,864257511,1006404387,2051066128,来看火影全区第一战力！,火影型男奇拉比,1676299200,1676291765,170,,手机游戏,172,6,手机游戏;火影忍者;搞笑;格斗游戏;火影;火影忍者手游,3007;3939;1833;59163;696;1288454,1506,259,0,3668,0,36691,443,1199,458683,1,1,无,无,无
1676446523,864222080,1003550957,85449106,【重传|甄嬛传|八泪】多少泪，哭不尽他们的一生,不系明珠,1676120852,1676120852,248,"第三次传了
求放过，谢谢审核大大（鞠躬）",影视剪辑,183,10,影视混剪;华妃;群像;孙俪;甄嬛传;甄嬛;陈建斌;沈眉庄;叶澜依;影娱新春游园会,882598;230124;139185;108296;187789;164971;221468;541126;3253998;33364628,4225,107,0,4218,0,10560,211,458,73392,1,0,无,无,无
1676446528,991697727,1003590734,36270342,【游戏王】投影决斗台，手机控制,杰多_Jeddo,1676122764,1676122764,122,"-	感谢大家对上一个视频的支持，送上了热门，让我有动力肝了一波，然后就有了这个视频。（否则不知道多久我才会动起来）

- 	我感觉手机就算戴在手上也还是有点麻烦的。

-	还是有好一些东西没做上去的，比如同调、超量、融合以及特殊胜利等。
	因为我觉得有点肝了，所以想这样：下一个视频的时候就发东西出来让大家有条件的可以试试。
	如果这样子玩起来是可接受的，我就把那些都逐渐做进去。
	如果是麻烦得不可接受的程度，那我可能又会放弃这个，或者再看看语音输入之类的是否可行。

-	这次没把攻击做上去，因为觉得挺麻烦的，要选择自己的怪兽、对方的怪兽；然后输入自己怪兽的攻击力、对方怪兽的攻击力。感觉这样会挺麻烦的。
	就先看看大家都有什么高见先吧。

-	在下一个视频前，希望大家也可以提一些比较有必要先做的功能。
	下一个视频主要是讲怎么用和要注意点什么。

-	如果这个视频也多人看，多评论弹幕。那我就再肝一波，下一个视频很快出。如果一般般，就慢慢做了。",桌游棋牌,173,4,桌游棋牌;万物皆可游戏;游戏王;卡牌游戏,3023780;20563743;2349;116267,6681,201,0,3844,0,23824,836,4434,500275,1,0,无,无,无
1676446538,949359929,1005716171,21581801,顶 级 拳 师,KM二号,1676259883,1676259883,94,“为了我，对他使用直拳吧！”俞涛能否成为中国第一位顶级拳师？,鬼畜剧场,216,10,杰哥不要;搞笑;我想吃鱼了;顶级厨师;刘华强;九转大肠;鬼畜剧;直拳;鬼畜星探企划;俞涛,208337;1833;34771922;200236;111282;910493;1626725;2616586;16637150;19538652,1721,206,0,2603,0,12952,171,679,152096,1,0,无,无,无
1676446543,864147260,1002853387,1747594614,新活动？！没错！送你两只胡桃或夜兰！！,是樊樊呀-,1676089061,1676089061,94,-,手机游戏,172,6,手机游戏;实况攻略;胡桃;游戏实况;夜兰;活动,3007;673152;33976;21885;543189;8569,19831,646,0,9709,0,30870,9710,837,663540,1,0,胡桃夜兰,,胡桃夜兰
1676446553,351657042,1002060709,273831140,和小翔哥吃米其林三星主厨做的顶级炸鸡！,渣叔爱酒,1676106000,1676032754,423,8万8个赞，跟小翔哥吃贵州菜！,美食侦探,212,12,美食;美食侦探;街头美食;中餐;米其林;海鲜;分享新年开工后的美食;夜宵;炸鸡;探店;广东美食;天南海北家乡味,20215;660189;1139423;290206;21852;104037;34722453;77401;23306;1469519;1592059;33105243,6866,920,0,1986,0,38825,429,295,446125,1,1,无,无,无
1676446557,651670859,1002096673,1119253352,2018年泰国牵动世界的“睡美人洞事件”，直到现在才知道的真相,顾我电影,1676034941,1676034941,968,2018年泰国牵动世界的“睡美人洞事件”，直到现在才知道的真相，电影《13条命》,影视杂谈,182,11,电影;电影解说;真实事件改编;悬疑;奋斗;励志;真相;治愈;高分电影;新剧好剧一起看;影娱新春游园会,3141;1161117;107374;17143;38234;976;5191;753;219250;32998285;33364628,8061,2468,0,7592,0,52199,1400,1331,693353,1,0,无,无,无
1676446567,821773542,1006350228,1939319,抓不住爱情的我 总是眼睁睁看它溜走～,科学超电磁炮F,1676304000,1676289000,137,节日快乐！,MAD·AMV,24,5,恋爱;爱情;动画;情人节;传统艺能,4145;943;358;16869;556470,4819,244,0,2164,0,17194,1534,1939,254001,1,0,无,无,无
1676446577,651673397,1003435899,327757321,今天我们就像是过去的好多天一样一次又一次地开箱了玩具....,摸鱼事务所,1676116166,1676116166,1468,,搞笑,138,12,手办模玩;搞笑;原创;高能;生活记录;玩具;测评;搞笑视频;开箱;沙雕;搞笑研究所;搞笑研究所2023,2676001;1833;536;7729;1057109;11212;72003;69347;110511;421428;23649527;35027528,29279,9602,0,10176,65,61129,1178,4470,736619,1,0,无,无,无
1676446586,566827518,1007336682,456664753,美俄亥俄州毒气泄漏事件后 部分居民出现头痛恶心症状,央视新闻,1676347307,1676347307,179,当地时间2月3日晚，一列运载有毒化学品的列车在美国俄亥俄州东部脱轨，引发大火。政府部门官员多次告诉居民当地空气质量安全且供水没有受到污染，但在附近溪流中逐渐有死鱼出现，当地居民在9日被告知可返回住所后，部分人出现头痛恶心等症状。,环球,204,4,犯罪;美国;毒气;泄露,47175;5794;32353;5541,1714,928,0,1932,0,41436,2813,4345,481506,1,0,无,无,无
1676446596,436806805,1005837391,16385920,父母没有告诉你的10个婚姻真相 | 28岁不想结婚有错吗？,姜Dora在此,1676282400,1676271330,1048,"情人节前夕，我们在感叹爱情美好的同时也要珍惜爱情的来之不易。
这次我们想带你看看爱情中沉重的的部分，它不仅需要我们自律、智慧，还会让我们时常面临破裂的风险，然而在爱里，我们也获得了最多的成长和对自我的了解。
希望你在了解这些后能够帮助你规避关系中出现的问题，更好的享受爱情与婚姻。",社科·法律·心理,124,10,爱情;恋爱;女性;分手;法律;情感;寻找100位内行人对谈;爱情何不慢慢来;婚姻;欧诗漫,943;4145;8460;40993;5590;66605;33186535;35413689;209268;3254316,9914,1902,0,9895,0,22057,1108,5508,375018,1,0,无,无,无
1676446605,224316867,1005419962,9717562,【星际争霸2】IEM卡托维兹2023世界总决赛TIME/Oliveira捧杯夺冠,星际老男孩,1676235246,1676235246,168,"(=・ω・=)希望能让更多人看到
我！们！是！冠！军！

录像来自鸟哥直播间",电子竞技,171,10,电子竞技;星际争霸2;星际老男孩;直播录像;Oliveira;IEM;TIME;鸟哥;即时战略;李培楠,62526;3531;155235;607412;15494393;100608;1465;245965;22999;7067828,54768,1803,0,16394,21,75784,5995,32743,1590574,1,1,无,无,无
