tag_id,标签名,标签描述,订阅数,使用次数
19539,灰原哀,"现用名：灰原哀
日文：はい(hai)ばら(bara)あい(ai)
原名：宫野志保
日文：みや(miya)の(no)し(shi)ほ(ho)
由来：
“灰”取自女侦探寇蒂莉亚·葛蕾（Cordelia Gray）的“Gray” 
组织代号：Sherry（雪莉）
人物信息
声优：林原惠美，曾秀清（香港TVB版），魏晶琦（台湾版），许云云（台湾版M5、M6），阎萌萌（大陆版）
真人版：柴田杏花（饰灰原哀），香椎由宇（饰宫野志保）
真人版声：张颂欣（香港TVB版本），谢洁丽（香港有线版本）
年龄：7岁，实际18岁
发色：茶色，金色，红棕色
发型：大波浪微卷
眸色：冰蓝色，湖蓝色，绿色
住所：米花町2号街22号。
血统：父亲为日本人，母亲为英国人
喜欢的电影：《爱因斯坦的光荣与苦恼的日子》
喜欢的颜色：玫瑰色
喜欢的食物：花生黄油和蓝莓果酱夹心的三明治
喜欢的球队：BIG大阪队
喜欢的球星：比护隆佑
发明成就：APTX-4869
家人：父亲 宫野厚司、母亲 宫野艾瑞娜、姐姐 宫野明美
生死之交：江户川柯南，即工藤新一
在乎的人：姐姐宫野明美、她的父母、江户川柯南、毛利兰、阿笠博士、侦探团的朋友们。",36552,49936
8881,名侦探柯南,《名侦探柯南》是根据青山刚昌创作的侦探漫画《名侦探柯南》改编的动画作品。于1996年1月8日开始在日本读卖电视台播放，至今仍在连载中。,184081,268463
1068,柯南,,32880,121316
215533,安室透,,1855,14760
226940,柯南剧场版,,263,5259
9573528,M25,,0,163
22897414,万圣节的新娘,,162,3820
33683785,动画嘉年华2023·灼夜花火,,0,281654
33684728,追番大作战,,0,83258
6874,趣闻,,79047,68346
47996,冷知识,冷知识指的是琐碎的、庞杂的事情或知识等，或许饶富趣味、并随时充斥在我们的生活周遭，却鲜少人会去注意。和”冷笑话”属于一种另类幽默一样，冷知识非但有用，且更吸引人。这些知识看似有些稀奇古怪，却可以让人增长见识，开阔视野，还能启迪思维，引发强烈求知欲。,144063,321410
49951,国货,,6950,52515
221,历史,,1021524,2568494
66849,财经,,359979,1643086
251524,商业,,9718,360295
587346,消费,,308,25230
23901,互联网,,9144,966460
194645,雨伞,,39,7649
20215,美食,好饿好饿好饿，我真的好饿~,2039907,5478398
149120,冰岛,,593,16374
490608,试吃,,57729,286075
6942,吃货,,541877,2319523
72003,测评,,247153,1871410
504597,环球旅行,,23817,17481
1469519,探店,,72238,585975
5922452,腌海雀,,0,69
33105243,天南海北家乡味,,2,98054
67700,洪金宝,,738,32786
56495,香港电影,,17216,225121
7950,成龙,"成龙，生于香港太平山，祖籍山东汶上，大中华区影坛巨星和国际功夫电影巨星，在华人世界享有极高的声望。他与周星驰、周润发并称“双周一成”，意为香港电影的票房保证。多次获得香港金像奖的最佳动作设计奖，并两度获得台湾电影金马奖最佳男主角奖。成龙以功夫片著称，曾多次打破香港电影票房纪录，其主演的电影全球总票房已经超过200亿元，为华人演员之首。成龙的成名作是《醉拳》；1994年由他主演的《红番区》在美国公映后反响强烈，使其成功打入好莱坞；《尖峰时刻》系列电影亦获得极高的票房，并奠定其国际电影巨星的地位。
广告
　　奇强洗衣粉
成龙 代言佳能EOS(7张) 
　　格力空调（倡议支持国产） 
　　新日电动车 
　　小霸王学习机 
　　爱多vcd（里面有很经典的一个镜头，取自和唐季礼合作的《简单任务》） 
　　劲隆摩托 
　　霸王洗发水　 
　　思念水饺 
　　原叶绿茶 
　　佳能EOS 
　　北方汽修 
　　卡巴斯基 
　　汾煌可乐",32744,185808
21,万恶之源,,159364,528585
4346,脱口秀,,172629,360850
179931,梗,,2169,103269
536,原创,1,239261,18912294
792,吐槽,,328008,2344714
222809,段子,,10935,566282
237619,搞笑图片,,483,115916
23649527,搞笑研究所,,71,708572
35027528,搞笑研究所2023,,1,101107
562935,美食制作,,9110,729589
11559932,戴佳伟,,108,6565
29755462,高启强,,3,24842
34722453,分享新年开工后的美食,,0,18854
20496,狂飙,,18,68963
3737600,异灵术,,7490,21498
4144294,田园美食,,1434,24890
4570806,猪脚面,,0,243
41103,体育,,235218,2302509
26343,世界冠军,,146,27239
13807,科技,,90906,1417103
206943,4K,,352060,594267
4078,运动,,85662,3702463
15414,台球,,13171,97720
316006,潘晓婷,,366,1422
8907716,花式九球,,0,107
21195596,亿点点不一样,,0,84
24687450,技能提升营,,22,144029
17208819,种草大作战,,1175,127718
19703,零食,,126353,179499
56406,小吃,,65402,313083
1128093,种草,,314526,1159727
23628369,按斤称零食,,0,26
2757865,爆款零食,,4,65
2930810,网红零食,,153,8815
3171798,网红美食,,128,34561
34763722,召集令游乐场,,0,11251
16869,情人节,,363,252706
35076622,“遇见你，怦然心动”2023情人节活动,,0,164752
35483426,又是一年情人节,,0,15949
17046,剧情,,133514,2488126
23964,电视剧,,88107,4130441
6080,对比,,1198,81891
114949,杂谈,1,20178,1473348
460092,张颂文,,151,23190
169194,删减,,50,4000
7120466,凉风Kaze,,1956,6966
32998285,新剧好剧一起看,,2,259397
16906,数码,在这里，我们能找到最具性价比的配置，也能说出牙膏的各种挤法,285151,1352747
4314,苹果,,54140,530995
438563,智能家居,,1727,140972
1215316,值不值得买,,198,2005
4751,TV,,97,5182
2520324,Apple,,292,82927
3129260,AppleTV,,1,149
8421869,影音体验,,0,10
33634523,#卯兔迎春小剧场,,0,8
13926,逗比,,163429,5723822
18257423,孙火旺,,23,300
123840,理想,,115,21083
113843,抽象,,6003,653683
103312,目标,,37,18083
421428,沙雕,,33909,6420932
189230,李响,,1352,8244
11601888,安欣,,0,13111
23801380,高启盛,,2,3475
34693591,高启兰,,2,1701
77556,张译,,7257,94705
1756757,李一桐,,5132,43129
3357209,高叶,,44,4729
608,手书,1,293719,478063
3221,娱乐,,118589,20326420
25638,剧情向,,71076,385052
12238584,哈利波特魔法觉醒,,8327,202454
8964,哈利波特,"一个小男孩，父母是魔法师，被巫师界中邪恶的力量所杀害，唯独他一个人存活了下来，他就是哈利·波特。一岁的他被姨妈家收养，在姨父家饱受欺凌,度过十年极其痛苦的日子。从出生来,从来没有人为他过过生日。但是在他十一岁生日那天,一切都发生了变化,信使猫头鹰带来了一封神秘的信:邀请哈利去一个永远难忘的、不可思议的地方——霍格沃茨魔法学校。在魔法学校,哈利不仅找着了朋友,学会了空中飞行,还得到了一件隐形衣，从此展开一段奇幻的故事…………",117212,438893
13179626,be美学,,44,7232
20899515,不渝之爱,,0,118
34613174,玩转自由,,0,58
2581334,East of Eden,,23,209
28421,刘德华,刘德华1961年9月27日生于香港，演员、歌手、词作人、制片人，影视歌多栖发展的代表艺人之一，也是位有使命感的电影人。1981年以全优成绩毕业于TVB艺训班签约出道，1982年凭《猎鹰》大红，名列“无线五虎”；1983年主演《神雕侠侣》在香港创62点收视纪录。1982年初涉影坛，相继主演《投奔怒海》、《法外情》、《天若有情》、《暗战》、《无间道》、《盲探》等佳作。至2013年已获3届金像奖最佳男主角奖、2届金马奖最佳男主角奖，2005年获颁香港院线“1985-2005年全港最高累积票房香港男演员”奖 ，2006年被授予香港演艺学院荣誉院士。1991年创办电影公司，2005年发起亚洲新星导计划，其出品电影《香港制造》、《疯狂的石头》、《桃姐》等声名远扬。2005年成为华语电影传媒大奖中国电影百年形象大使，2006年获釜山国际电影节亚洲最有贡献电影人大奖，2012-2013年出任第49届金马奖及第七届亚洲电影大奖评审团主席。1985年首发专辑，1990年凭专辑《可不可以》走红歌坛] ，《忘情水》、《中国人》、《今天》等歌曲广为传唱。至2013年已发行正式专辑近50张，唱片总数愈100张。6夺TVB香港最受欢迎男歌手奖，是吉尼斯世界纪录中获奖最多的香港男歌手。演艺事业外，刘德华热心公益慈善，1994年创立“刘德华慈善基金会，2000年被评为“世界十大杰出青年”，2008年被委任香港非官守太平绅士，2010年获颁“世界杰出华人奖”，同年起任中国残疾人福利基金会理事并担任副理事长 。,23702,172393
68,鬼畜,起源于NICONICO动画，由最早出现的音MAD《最终鬼畜妹フランドール・S》中的“鬼畜”略称而得名。,2316818,1143457
34307753,疯驴子,,0,308
11323,影视,,1719,1486623
2643048,徐江,,0,1589
16637150,鬼畜星探企划,,1093,157389
542,风景,,4278,2590320
65695,江南,,511,43394
840163,张若昀,,29470,130152
22423529,粗布麻衣,,0,2
10090527,显微镜下的大明,,1,1005
20690403,以倭代华,,0,121
35338012,0.5倍速看显微镜下的大明,,0,105
66611,情侣,,48590,828198
2504,美女,,119682,5855474
1057109,生活记录,,57218,25988131
72174,惊喜,,102,39977
4116104,可爱女友,,2,275
6710954,情人节怎么过,,2,7477
42009,逆袭,,2643,121723
13160,学习,,1636008,13250948
4149,教育,,67898,3646220
8859,考试,,296326,2229984
8740,高考,,219065,1360446
12729,高中,,40661,1471551
25554,方法,,428,85024
1419008,分数,,4,4611
34357436,狂飙电视剧,,5,267
35193513,狂飙，但是鬼畜,,0,792
34356,大学生,,7552,1372169
452885,社畜,,78,20109
62240,设计师,,1582,71266
8275909,莫宝,,6,167
34812234,开工崩溃瞬间,,0,18681
1139423,街头美食,,151279,406334
660189,美食侦探,,131133,197027
26058795,世界美食official,,4,246
1138007,路边摊,,659,80453
14783,异域风情,,147,4403
635666,手抓饭,,21,1768
1463059,传统美食,,122,9291
1714538,星计划,,22,256737
18957190,原神UP主激励计划,,622606,5869444
14037,JOJO,,12718,283021
7945544,原神,,506167,8680671
485740,MAD.AMV,,64685,210941
219796,小鸟游六花,"　《中二病也要谈恋爱！》女主角，右眼带着眼罩，皮肤纯白、个子娇小、患有重度中二病的短发少女，有着紫色的呆毛，右眼用眼罩遮盖，有用隐形眼镜制造的异色瞳孔。
以各种鬼畜视频著名。",3590,37830
281,MAD,"MAD = M@D = MAD MOVIE
它是电玩文化、动漫文化、同人文化界別中的多媒体作品。一般作品為一段有关的影片剪辑，配以作者喜欢的音樂，近似同人MV 形式的存在。不同的地方是MAD片的重点在于影片，对有关动画或电玩致敬，而相对同人MV的重点則放在音乐之上。当然亦有一些是只作声音的剪辑或只有画面的剪辑严格而言亦可算作MAD的。",702956,1202963
138975,中二病也要谈恋爱,《中二病也要谈恋爱！（中二病でも恋がしたい！）》是由日本轻小说家虎虎创作、逢坂望美负责插画的轻小说，京都动画创立的轻小说系列KA Esuma文库（KAエスマ文库）的第一弹。本作原文为第一届京都动画大赏轻小说部门之优秀作品，获奖的评语是“文中的着眼点和想法都令人觉得很有趣”。得奖作品于2011年6月1日出版，随后亦有推出续集，合共2卷。作者在后记表示，全书有不少捏他是向《凉宫春日的忧郁》致敬。动画由公司京都动画制作，于2012年10月3日开始播放。,7490,67801
17873455,one last kiss,,31,4249
66579,再见,,70,53915
25367425,动画短片群星计划,,59,566148
4602374,叠甲,,7,601
25483,GMV,由游戏素材制作的MV视频。以游戏内容或CG为主制作的，具有一定创作程度的MV类型的视频,43887,463473
43755,乙女游戏,这里收集有关乙女游戏的视频.包括情报.实况.作为一个整合.造福乙女游戏爱好者们,11164,85281
11257693,未定事件簿,,6371,214824
11259409,左然,,895,50936
11259414,陆景和,,1338,51055
11259416,莫弈,,718,38319
33360395,未定事件簿·故城黎明的回响,,0,3495
7148040,夏彦,,914,47185
16639997,国乙,,11,7817
33599838,未定事件簿·故城黎明的回响视频征集,,0,3616
11716145,中考化学复习,,46,768
1183130,中考化学,,553,7294
141937,初三,,3716,106434
102798,初中,,4997,428545
634574,经验分享,,39626,3195433
621438,初中化学,,1053,17092
1683172,初三化学,,340,5905
3269802,学习心得,,43643,1720771
4831680,九年级化学,,92,3579
34407075,是老师，也是UP主！,,6,20449
802,游戏,,55915,5063300
238261,狼人杀,,39422,187797
1035913,小潮,,2377,25078
2789774,小潮院长,,2717,41334
8139494,小潮team,,1079,18527
22014944,鹅鸭杀,,7,51160
24855082,推荐宝藏游戏,,67,2681260
12940,氪金,,1678,515878
1907,二次元,,251639,3724621
34665678,崩坏星穹铁道三测,,0,620
976,励志,,89044,1189697
2478,洛奇,Nexon旗下开发团队devCAT studio制作的大型MMORPG游戏，Mabinogi源自于北欧古代时期，是一首被吟游诗人所传唱的歌。当年的洛奇因其搞自由度的游戏方式及清新的画风俘获了一大批玩家，虽然至今已不见当年热度，但仍有一批忠实的死忠玩家在里面继续着美丽的童话故事。,662,13244
3939,火影忍者,《火影忍者》是日本漫画家岸本齐史的代表作，作品于1999年开始在周刊《少年JUMP》上连载。故事成功地将原本隐藏在黑暗中，用世界上最强大的毅力和最艰辛的努力去做最密不可宣和隐讳残酷的事情的忍者，描绘成了太阳下最值得骄傲最光明无限的的职业。在这个忍者的世界中，每一位年轻的主人翁都在开拓着属于自己的忍道。,265491,1455456
59163,格斗游戏,格斗游戏（Fighting Game）是指玩家操纵自己选择的角色以武术打斗的方式与计算机或其他玩家控制的角色对战的电视游戏或电脑游戏，和射击游戏一样多见於街机（大型电玩），系统及设定和那些与真实的体育项目有关的体育类游戏有著明显的区别。格斗游戏又可分為两种有著相似之处但又明显不同的种类。,1184,854861
696,火影,,4989,464572
1288454,火影忍者手游,,75499,1429880
882598,影视混剪,以多部影视剧为素材且具有一定制作程度的二次创作视频,388764,103582
230124,华妃,,201,27784
139185,群像,,2555,43707
108296,孙俪,孙俪（本名孙丽，1982年9月26日－），出生于上海，中国内地影视女演员、歌手。从小学习舞蹈，15岁考入上海警备区文工团当文艺兵。2001年参加新加坡举行的才华横溢出新秀比赛获奖，随后签约北京海润演艺经纪有限公司。2003年饰演海岩剧《玉观音》女主角安心一举成名并荣获金鹰奖，之后几年又主演《幸福像花儿一样》《甜蜜蜜》《小姨多鹤》等颇具代表性的电视剧，2006年凭借《霍元甲》荣获第28届大众电影百花奖最佳新人奖。2010年与邓超登记结婚，2011年顺产生下一子。2012年孙俪产后复出，因清宫剧《后宫·甄嬛传》饰演甄嬛一角而人气飙升。,1950,96111
187789,甄嬛传,,22908,121653
164971,甄嬛,,3850,74376
221468,陈建斌,,141,34476
541126,沈眉庄,,169,12999
3253998,叶澜依,,75,939
3023780,桌游棋牌,它是一种面对面的游戏，非常强调交流。因此，桌面游戏是家庭休闲、朋友聚会、甚至商务闲暇等多种场合的最佳沟通方式。,57983,2509382
20563743,万物皆可游戏,,1865,2965896
2349,游戏王,,63292,642571
116267,卡牌游戏,,10887,1562315
208337,杰哥不要,湾湾教育部推出的一档教育片。,3880,45878
34771922,我想吃鱼了,,0,55
200236,顶级厨师,继《中国达人秀》、《梦立方》之后，东方卫视再度引进一档国外版权节目——《顶级厨师》，重磅出击打造中国首档美食才艺秀节目。,35,5243
111282,刘华强,,1949,113362
910493,九转大肠,,18,17103
1626725,鬼畜剧,,605,1622
2616586,直拳,,2,216
19538652,俞涛,,1,2123
33976,胡桃,,2596,298634
21885,游戏实况,,876,1322740
543189,夜兰,,68,84311
8569,活动,,154,523108
290206,中餐,,444,14469
21852,米其林,,1323,25729
104037,海鲜,,31396,207344
77401,夜宵,,13412,68344
23306,炸鸡,,4326,101806
1592059,广东美食,,377,22114
3141,电影,电影，也称映画。是由活动照相术和幻灯放映术结合发展起来的一种现代艺术。是一门可以容纳文学戏剧、摄影、绘画、音乐、舞蹈、文字、雕塑、建筑等多种艺术的综合艺术，但它又具有独自的艺术特征。电影在艺术表现力上不但具有其它各种艺术的特征，又因可以运用蒙太奇这种艺术性极强的电影组接技巧，具有超越其它一切艺术的表现手段，而且影片可以大量复制放映。,152599,4984323
1161117,电影解说,,696046,1717472
107374,真实事件改编,,735,11611
17143,悬疑,,93658,823913
38234,奋斗,,2965,147289
5191,真相,,919,56222
753,治愈,,83954,1181361
219250,高分电影,,811,45737
4145,恋爱,,43687,2580789
556470,传统艺能,,21,1251
2676001,手办模玩,缩小了的他们，代表着我们的浪漫,203693,172364
11212,玩具,,17228,892276
69347,搞笑视频,,239074,7966915
110511,开箱,,262101,2973905
47175,犯罪,,25626,624594
5794,美国,,267805,1395894
32353,毒气,,7,1169
5541,泄露,,11,6789
8460,女性,,2603,191989
40993,分手,,1414,230932
5590,法律,,103114,171039
33186535,寻找100位内行人对谈,,1,21402
35413689,爱情何不慢慢来,,0,7
209268,婚姻,,908,641714
3254316,欧诗漫,,0,407
62526,电子竞技,电子竞技（Electronic Sports）就是电子游戏比赛达到“竞技”层面的体育项目。,111424,9591218
3531,星际争霸2,《星际争霸Ⅱ》（StarCraftⅡ）是由暴雪在2010年7月27日推出的一款RTS即时战略类游戏，作为《星际争霸》的续篇讲述了人族、星灵和异虫三族的故事。《星际争霸Ⅱ》将以三部曲的形式推出，即Wings of Liberty（自由之翼）、Heart of the Swarm（虫群之心）和Legacy of the Void（虚空之遗）。,54296,217212
155235,星际老男孩,"一群一直为星际奋斗着的,并且为国内星际努力着的人,这就是星际老男孩.",12374,12465
607412,直播录像,直播录像,99832,3961525
15494393,Oliveira,,1,89
100608,IEM,,25,7571
1465,TIME,时光是最好的回忆,81,2732
245965,鸟哥,,18,1164
7067828,李培楠,,82,881
13978,演员,,836,1332512
5761,明星,,118830,8563640
4448,人物,,25166,611626
3178,故事,,1820,533000
218245,烘焙,,226232,282987
454809,甜品,,12072,415768
145580,白色恋人,,3,381
2503953,Vlog,,3231,836527
35523308,情人节美食记录,,0,1859
9222,英雄联盟,《英雄联盟》是由美国Riot Games开发的3D大型竞技场战网游戏，让玩家感受全新的英雄对战。,1615402,4400402
10876266,云顶之弈,云顶之弈是英雄联盟中的全新游戏模式。构筑并强化你的终极团队，然后见证战争在眼前拉开帷幕吧！,67980,416278
54148,AI,,4144,314054
22419466,云顶S8,,0,3971
35434566,万血鳄鱼,,0,2
29634,鳄鱼,,601,70169
2716194,香菇滑鸡,,39,1006
373,演奏,以乐器演奏为主体的视频作品。,161714,422476
435985,刘宪华,,29803,68839
7074,小提琴,小提琴（violin）是一种弦乐器。总共有四根弦，靠弦和弓摩擦发出声音。它广泛流传于世界各国，是现代管弦乐队弦乐组中最主要的乐器，被誉为乐器皇后。它在器乐中占有极重要的位置，是现代交响乐队的支柱，也是具有高难度演奏技巧的独奏乐器。,108476,134552
2602773,My Heart Will Go On,,19,718
13509,文学,,22493,690942
99664,诗词,,5368,200044
958930,宋词,,218,11159
1050989,黄庭坚,,8,1095
22509081,惟有香如故,,0,44
33166721,2023的第一场旅行,,0,48568
166866,山西,,423,62104
143318,废墟,,239,9327
109030,太原,,132,46806
33323205,新春出行游园会,,1,96621
10433025,Vlog我的探店笔记,搜罗身边好去处,6853,10706
2511282,vlog,随手记录你最好的时光,522709,1299068
596,上海,,9544,651858
2848,日常,,374759,14381526
156230,牛排,,20958,40972
2832845,战斧牛排,,66,1457
242172,游戏资讯,,44241,223830
74373,游戏杂谈,,119820,1123254
178441,CN,,34,1226
4287,星际,,172,29699
79751,电竞,1,2218,1050769
35466334,星际争霸2夺冠,,0,19
515,浪漫,,9125,199461
2761849,摘抄,,3859,54325
2861,新海诚,,90217,137776
391,AMV,动画音乐录像（Anime Music Video，简称AMV）是由一个或几个动画组成，并搭配一首歌曲的短片。大多数AMV都不是官方发行的，而是动画爱好者自己剪辑、编排而成。因此AMV大多在网上发布。许多动漫展都要举行AMV的竞赛或展出。通常，AMV都局限于日本动画，和日式电子游戏。另外，多人合作的AMV通常被称为MEP（Multi-Editor Project）。,192711,1121100
147345,混剪,,149890,3944823
1466243,你的名字,,65643,187827
227388,极致,,2,11223
8191,名字,,68,38186
33684667,高能快闪动画团,,0,9147
104970,LOGO,,1170,52016
2450,官方,,8451,53463
921543,白象,,17,5001
4450,辛普森一家,《辛普森一家》（英语：The Simpsons）是马特·格勒宁为美国福克斯广播公司创作的一部动画情景喜剧。该剧通过对霍默、玛琦、巴特、莉萨和玛吉一家五口生活的描绘，戏仿了美国中产阶级的生活方式。空间设定于虚构小镇春田镇的《辛普森一家》，用搞笑的方式自我嘲讽了美国的文化、社会、电视以及人类境况的诸多方面。,2474,57049
2662,喜剧,,227715,1200804
16507869,搞笑美漫,,1,575
52192,辛普森,,86,27026
29710,美漫,,1865,63753
117347,欧美动画,,2946,51609
204155,动漫解说,,735,262785
2637983,高分动画,,36,1494
22643,核,,229,8761
204344,人造太阳,,92,563
3845,解说,,19703,1154841
8952,纪录片,纪录片是以真实生活为创作素材，以真人真事为表现对象，并对其进行艺术的加工与展现的，以展现真实为本质，并用真实引发人们思考的电影或电视艺术形式。纪录片的核心为真实。电影的诞生始于纪录片的创作。,185048,646193
501044,生活纪实,,4,1952
293959,铁路沿线,,2,41
77443,铁路,,5295,257584
52232,诗人,,204,12993
272884,诗歌,,1348,141290
10009,知识,,4916,691761
52179,纪实,,135202,394856
165770,流水线,,548,12533
10104325,大象放映室,,106,163
10383801,许立志,,2,300
4757,崩坏,,2562,143761
1620256,崩坏3,点燃国创动作之魂!次世代的动作游戏！3D全视角卡通渲染、沉浸感十足的关卡剧情、作为国创IP大作更有人气声优献声！,226060,1557103
21744673,星穹铁道,,93,11256
111039,游戏测评,,124,56298
110374,游戏推荐,,1475,430297
3076929,星铁,,12,153
34616048,星穹铁道跃迁特别计划,,4,18638
35021200,《崩坏：星穹铁道》跃迁特别计划,,7,16686
1019252,童年回忆杀,快来一起回忆你的童年吧！,31952,235923
263089,游戏集锦,,247452,2003509
33450,独立游戏,不用于传统发行渠道发布的游戏。,207648,1762964
12625,小游戏,,99951,1953722
30074,4399,,1971,104669
1249,结局,,162,78533
1469077,双刃战士,,18,255
5034734,游戏鉴赏家,,4467,557220
1728359,国风音乐,以现代音乐为基底，并搭配以中国古典乐元素糅合而成的音乐，兼具国风的雅韵以及流行乐的传唱性。,182322,23444
8227,古风,“古风”是一类新型的文化。“古风”以中国的传统文化为基调，结合中国传统的文学、琴棋书画、诗词歌赋等，经过不断的发展磨合，形成了比较完备的音乐、文学、绘画等艺术形式。古风文化正逐渐流行，受到越来越多的人喜爱。,629920,1529457
3463913,国风歌曲,,10,1086
32132679,施靖奕,,0,2
800761,写歌,,53,8212
163825,网络神曲,,74,1243
966945,赐我,,21,3857
498518,音乐人,,44,14687
198386,批评,,8,3336
6260,化学,物质间的组合与替换，沉溺在这神奇的规律中吧,229890,347814
247144,泄漏,,1,361
6943,萌宠,卖萌真的能当饭吃吗？？,520041,2655934
9955,汪星人,网络流行语，将狗狗戏称是从遥远外太空的汪星球来到地球的外星人，利用很萌的外表骗取人类的信任,404937,927177
19337540,动物观察局,,2754,1858334
34901,流浪,,92,37657
38367,藏獒,,124,6386
183510,流浪狗,,623,52191
15775524,必剪创作,,75633,71007073
35256673,动物观察局18.0 小动物聊天室,,0,74759
46183,人工智能,,85246,495125
1256661,软件应用,,91,11881
593545,工业革命,,19,1462
35165293,万物研究所·第八期,,0,65781
35369918,ChatGPT来啦,,0,25051
145629,搭讪,,2217,58089
306809,街访,,4445,110575
32654,相亲,,749,149905
145236,社交,,2993,62286
32059742,#娜塔莎2023国际指弹吉他大赛,,0,29
11098212,睡前消息,,17762,2783
35524439,国税务局,,0,3
1116607,个税,,33,6478
142245,税收,,69,12225
1604305,马前卒,,5168,2054
3394223,教育资源,,5,211
7012204,马督工,,596,2444
23247367,金税4期,,0,8
47988,我的世界,《我的世界》是一款风靡全球的高自由度沙盒游戏，由瑞典Mojang AB和4J Studios开发。,641299,3862625
11265,手工,我有一双巧手，让生活更有情趣~,717307,3115443
356,美术,,6219,265185
1210,手绘,,513734,1514736
11298,大触,,115803,121642
7988,创意,,152013,1665835
29262,绘画过程,,140729,2306177
357,艺术,,123256,1709362
5386,画画,,30303,1262543
692703,创意绘画,,17,1920
6042,女友,,958,109987
433334,质问,,0,235
306387,前任,,275,84120
6204780,恋爱选择题,,0,787
35202842,情人节浪漫观察员,,0,1484
3550779,第五人格,拥有多种模式的对抗竞技类手机游戏。,251300,2972838
257974,手游,,89973,12585205
1534686,故事视频,,12,45
35485233,第五人格守夜人,,1,15
229598,骑行,,4399,618227
33342163,户外冰雪新体验,,1,3870
11790,小丑,,34905,220178
10909159,沉默以对,,0,18
13244995,默神,,0,75
26718310,徐Toso,,0,12
35055365,16岁辍学高中生,,0,8
1064919,辍学,,13,2208
46489,16岁,,7,5262
3185,吉他,,256508,930500
92134,吉他指弹,,2137,111461
12459,燃曲,,4572,16177
362,BGM,"BGM=Back Ground Music,英文中意为背景音乐，指在动漫、游戏、电影、电视剧等多媒体产品中，作Background Music为背景衬托的音乐 ,很多视频如果没有一个好的BGM将会变得很无聊

",146495,932455
35327056,loseControl,,0,1
1105141,精卫,,23,3643
24311578,cureforme,,0,91
25250360,Emptylove,,0,20
32998420,新年演奏挑战赛,,0,33458
33164417,新年演奏大作战,,0,38755
1404375,王者荣耀,,1044330,6326744
21618618,王者荣耀UP主激励计划,,8978,2195318
42702,夏洛特,,1769,45335
