爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1676475100,864494652,1008234210,4835329,憋了一年的仇是时候报了！这口黑锅压的我喘不过起来，今天终于能甩掉了,AS极客,1676426400,1676394837,428,"人是千万种
有的人天生就是坏
有的人永远是在提高自己
捡垃圾的视频停更了快一年了
今天是时候说明原因了
这口黑锅终于可以扔了",数码,95,10,科普;数码;游戏;DIY;科技;电脑;黑锅;垃圾佬;捡垃圾;上进,5417;16906;802;3620;13807;1339;620300;994518;252274;909297,3270,480,0,714,0,11158,506,80,130313,1,0,无,无,无
1676475106,479464634,1008868370,429582883,【品城记】安利哥：能击败广州9成的煲仔饭！开车一个多小时去都值啦！,品城记本地版,1676451600,1676442407,572,煲仔饭作为广式街头美食的精髓之一，珠三角地区随处都能找到好吃的煲仔饭，理论上说，出名的煲仔饭我们都吃过了，应该也很难找到什么惊喜，所以当我们告诉安利哥：今天要开车一个多小时，专门去增城吃煲仔饭的时候，安利哥是十分不解的......但到店后才发现，这家煲仔饭其实大有乾坤，他们采用柴火炮制，虽然价格平民，店面也没有环境可言，但煲仔饭的出品基本无可挑剔！食材、火候、老板的技术均相当到位，连安利哥都忍不住赞：“能胜过广州9成的煲仔饭！”就算开一个小时去，也完全值得啦！,美食侦探,212,9,美食;种草大作战;街头美食;生活记录;广州美食;煲仔饭;探店;Vlog;召集令游乐场,20215;17208819;1139423;1057109;75781;532270;1469519;2503953;34763722,4626,935,0,1826,0,9709,484,1933,110735,1,0,煲仔皇柴火煲仔饭,,煲仔皇柴火煲仔饭
1676475113,651769075,1007757511,1620290103,我妈锐评稻妻女角色,J金属钠,1676373023,1676373023,579,祝大家情人节快乐，有情人终成眷属！全体男角色、须弥和璃月的女角色，在前面的几期视频，欢迎来康康,手机游戏,172,6,手机游戏;原神UP主激励计划;搞笑;雷神;八重神子;原神,3007;18957190;1833;133;19386270;7945544,1041,2170,0,1898,0,13052,858,1801,253307,1,0,无,无,无
1676475124,991850694,1007903891,34118160,“给他一个破碗，他给你一部大片”-——大型纪录片《郭帆传奇》,数字生命化西格,1676379098,1676379098,140,请允许我向你们介绍我们的主，流浪地球的导演，郭帆先生，他真的很帅，很涩，谢谢,搞笑,138,6,科幻电影;流浪地球;郭帆;流浪地球2;搞笑研究所;搞笑研究所2023,41344;210691;3598106;9741441;23649527;35027528,1333,495,0,2426,0,15464,489,832,160172,1,0,无,无,无
1676475130,991572116,1000157704,680677803,我，260万粉UP主，公开助农水果利润！究竟赚了多少钱？,王小七Fire,1675935000,1675926495,705,,社科·法律·心理,124,9,UP主;社会;中国;粉丝;农业;水果;农民;农村;助农,2798;47798;1652;1598;129579;6348;9723;59846;3486075,53331,2420,0,8046,65,67980,2373,930,618309,1,0,https://b23.tv/BV18g411a7EE,,两百万UP主吃相难看，助农是在诈骗？用实证回应 4大质疑！
1676475142,479358761,1006627888,56730666,从荒诞虚无到解构一切，后现代的本质是什么？,幽灵漫游指南,1676347200,1676302842,728,应该说后现代主义在根本上是反本质的，它的本质就是没有本质，就是”错乱“、怪诞、迷狂。如果说后现代最喜欢干的事就是解构一切本质，那我们今天不妨对后现代本身也作一番解构。,社科·法律·心理,124,10,人文;哲学;本质;东百往事;整点薯条;虚无主义;解构;后现代主义;原神;社会科学原来这么有趣,40737;589;300507;10954489;19277584;171069;303596;1278350;7945544;26875023,1678,376,0,3331,0,4580,561,569,59826,1,0,幽灵读书会,,幽灵读书会
1676475149,779256492,1007725147,1488532268,摊牌了，ikun集合,英超联赛,1676372795,1676372795,275,"坤·阿圭罗英超小角度进球集锦
什么叫小角度之王啊（战术后仰）",足球,249,10,体育;英超;阿根廷;集锦;进球;英超联赛;阿圭罗;曼城;ikun;足球绿洲探险家,41103;62330;11716;47081;17415;959927;720084;67964;6020278;29389145,1167,392,0,962,0,6179,320,551,59982,1,0,小角度之王,,小角度之王
1676475156,524199857,1003210832,3493080560830654,社区店竟然能吃到淮扬三头之一的红扒整猪头|北京玉华台饭庄,真探高文麒,1676431800,1676107630,583,在北京能吃到这道菜的地方不多了,美食侦探,212,6,美食;分享新年开工后的美食;老字号;淮扬菜;玉华台;天南海北家乡味,20215;34722453;486476;290700;4788188;33105243,3647,1622,0,1520,0,20671,807,1007,398732,1,0,无,无,无
1676475166,436883863,1009190473,391329387,用一把红柳羊肉串，在跟日本媳妇求个婚！！,日本媳妇在山东农村,1676456233,1676456233,432,祝大家有情人终成眷属~,美食记录,215,10,美食;美食制作;日本;老外;中外家庭;情人节;乡村;记录;媳妇;日本媳妇,20215;562935;860;2377;10894226;16869;30542;37366;319050;1057198,3647,730,0,338,0,8719,465,248,89209,1,0,无,无,无
1676475172,694451703,1009133097,490775325,探山东·微山湖·渔家乐，王屯鱼馆，★★★★★好评？,师父和我做鲁菜,1676453511,1676453511,511,,美食侦探,212,4,美食;美食侦探;山东;美食探店,20215;660189;65366;1603458,3245,810,0,704,0,7941,758,426,102710,1,0,https://www.bilibili.com/video/BV1zo4y1i769/?spm_id_from=333.999.0.0&vd_source=5b7d22abd2f318c2bb925f4434608ff7,,北京萃华楼饭庄丛培德示范-酱爆鸡丁
1676475181,566989490,1009064703,640495315,我们翻车啦？！以及一些小感悟,kaokaoniao,1676452291,1676452292,499,"拍这期视频不是说为了博取同情或者说不许大家去玩这项运动，只是想作为一个反面教材提醒一下大家~
大家一定要平平安安幸福美满喔！爱你们！
下期想拍个好物分享大家想看啥呀！~",搞笑,138,11,生活记录;搞笑;日常;生活;吐槽;烤姐;分享;翻车;徐大虾;搞笑研究所2023;搞笑人有没有爱情,1057109;1833;2848;1742;792;20701157;81987;45387;2650084;35027528;35318921,9248,1166,0,3097,0,37632,966,1621,371116,1,0,无,无,无
1676475193,991724953,1002772541,400582420,宅基地被占，你就是告上一辈子也没用,赤脚大仙要穿鞋,1676085632,1676085632,190,,影视杂谈,182,4,就是;宅基地;经典好剧考古安利;影娱新春游园会,2115;553529;33344246;33364628,580,740,0,2181,0,19048,1557,488,281235,1,0,无,无,无
1676475203,224126506,1003106798,482508159,小哥今天收到了小费，下班一下买了两份炸酱面，再加个猪蹄,哥倆美食,1676194200,1676102220,324,小哥今天收到了消费，下班一下买了两份炸酱面，再加个猪蹄,美食记录,215,5,美食;炸酱面;猪蹄;打卡计划;天南海北家乡味,20215;190935;390219;9586234;33105243,9365,493,0,805,0,14832,296,160,200603,1,0,无,无,无
1676475207,779342300,1006371688,21702847,【喜羊羊手书/描改】喜儿们只是在跳舞而已！（画不动了！）,花狸li,1676290103,1676290103,101,"不要说还有什么形象没画啦！画不动了！
看在这么大工作量的份上给个三连吧5555
描改自：https://twitter.com/i/status/1448596076236267525",短片·手书·配音,47,7,手书;喜羊羊与灰太狼;同人;喜羊羊;描改;动画短片群星计划;动画嘉年华2023·灼夜花火,608;11326;3813;11387;4467796;25367425;33683785,1214,206,0,4459,0,10458,167,520,63882,1,0,无,无,无
1676475211,779357445,1006919200,348989367,《柯南》高启盛冻鱼杀人动画版,沫子瞪片,1676345400,1676332182,644,柯南里 你见过最离奇的作案手法是啥？,动漫杂谈,253,13,动漫杂谈;童年回忆杀;搞笑;毛利兰;工藤新一;名侦探柯南;爆笑;高启盛;高启强;狂飙;柯南;搞笑研究所;搞笑研究所2023,530918;1019252;1833;9505;29597;8881;1935;23801380;29755462;20496;1068;23649527;35027528,1172,852,0,1421,0,15604,391,289,224293,1,0,无,无,无
1676475217,479402591,1008784271,25073738,刘慈欣89年写成却从未出版的科幻小说《中国2185》p1——序章-最高执政官,科幻视界,1676438042,1676438042,639,"真不是我喜欢杨幂啊。。。
正一点的现代剧多 资源又好的女演员真找不太出来啊。。。。
ps：这个绝对不太监！
pps：搞了个企鹅粉丝群—574857450，找我艾特我就好了捏",影视杂谈,182,11,科幻;三体;小说;中国;刘慈欣;愫读原著;流浪地球2;中国2185;B站科幻季;影娱新春游园会;那些百看不厌的科幻神作,5251;38731;22654;1652;44171;5408434;9741441;15169534;30792571;33364628;33413484,5264,554,0,6376,0,17619,594,870,237877,1,0,无,无,无
1676475225,479279430,1007895495,214062295,【不良人6】主角团PV解读：张天师出山救岐民，降臣为何救李星云并传功法？,贝贝漫,1676379526,1676379526,576,-,国产原创相关,168,11,画江湖之不良人;李星云;国产动画;国创相关;不良人6;国漫;剧情解读;深度解析;国漫推荐;动画园游会;动画园游会 二期,722622;766404;7990;3328927;25359139;14917;926748;1500854;2968417;30663126;34913472,2457,369,0,487,0,4224,389,269,59426,1,0,四大尸祖,,四大尸祖
1676475230,864137219,1002582214,27500557,我的世界冷知识：这是mc最稀有的生物？（不是封面党）,梦轩dada,1676083800,1676052493,267,"新浪微博：http://weibo.com/mengxuandada
梦轩唯一QQ：1158118408
梦轩粉丝QQ群：700474835",单机游戏,17,12,我的世界;实况攻略;单机游戏;游戏知识分享官;实况解说;攻略;搞笑;MC;MINECRAFT;Minecraft;单机联机;梦轩,47988;673152;17683;17085903;7160;2100;1833;32660;704;2483870;1214016;2740552,1163,693,0,6793,0,28831,820,191,400351,1,0,无,无,无
1676475239,651722316,1003752189,1222775881,那个在汶川地震时捐款1个亿的唐山人，已经去世快9年了,最人物纪,1676193300,1676131177,692,2008年5月12日，汶川地震发生后，全国人民积极响应，大家纷纷开始捐款。在5月18日举行的央视慈善捐款晚会上，一企业家举着3000万的捐款牌发表了自己对灾区人民的祝福。就当主持人朱军将要移开话筒时，企业家又激动地喊道：“我和我太太刚才决定追加捐款7000万元”。就这样，这个企业家一个人就捐款了一个亿。那么他到底是谁呢？他就是唐山人张祥青。1976年，唐山大地震时，7岁的他经历了这一切，大地震中，他失去了爸爸妈妈和哥哥，成为了一名孤儿。但他不惧苦难，靠着自己的努力成为了后来的天津首富。2014年8月9日，张祥青突发心脏病去世，这样一位慈善企业家匆匆离开了人世。本期最人物纪就带大家走进张祥青的传奇一生。,人文历史,228,12,人文;纪实;励志;正能量;人物;感动;社会百态;汶川大地震;人物故事;纪实故事;热点观察局;bilibili年味唤醒计划,40737;52179;976;33129;4448;1290;177512;1188189;3527690;7192064;27544978;33024023,1615,426,0,1995,0,29612,386,211,199443,1,0,无,无,无
1676475244,991856144,1004832537,3461578898803427,狂飙人物介绍,唐僧说电影,1676198102,1676198102,136,-,影视杂谈,182,3,电影剪辑;原创;电影解说,105624;536;1161117,3982,64,0,3344,0,18458,168,2040,270351,1,0,无,无,无
1676475247,821829471,1007740969,3493086340581999,【原神】4.0前即将上线的新地图；璃月神树！！！,绝云丘丘,1676372444,1676372444,135,"创作不易，你的三连是丘丘创作的动力！丘丘会努力为大家带来原神最新资讯、攻略、原石等
喜欢原神的小伙伴欢迎加入丘丘的QQ群643406491~",手机游戏,172,11,手机游戏;原神UP主激励计划;地图;至冬;枫丹;翘英庄;沉玉谷;原神4.0;遗龙埠;纳塔;原神,3007;18957190;12269;16317429;16317440;24845176;25329018;29708053;35531306;1311884;7945544,1326,378,0,547,0,11474,793,350,187124,1,0,无,无,无
1676475254,651768213,1007727787,432597324,贷款暴增，物价抬头，银行也开始缺钱，信心终于回来了？,蓝白argentina,1676371916,1676371916,580,"钱这个东西，需要一个从上游到下游，银行——企业——居民慢慢传导的过程。

资料来源：

央行网站《1月金融统计数据》《2015年金融统计数据报告》

申万宏源宏观《居民愈冷企业愈热，可持续吗？》

【国君宏观】“信贷强，社融弱”中的三个背离

【奇霖宏观】信贷迎来“开门红”

资金面骤然收紧之后 | 民生·周君芝团队

【蒋飞宏观研究】消费修复初步确认——1月份通胀数据点评",财经商业,207,10,货币;财经;寻找100位内行人对谈;经济;房地产;物价;贷款;银行;消费;央行,255702;66849;33186535;94982;70328;80024;84903;8953;587346;1439042,1669,48,0,1523,0,9915,759,640,187741,1,0,无,无,无
1676475260,906898154,1008880039,37663924,【半佛】为何塔吊下总有冰红茶？,硬核的半佛仙人,1676451600,1676445674,562,那是愚蠢又热烈的青春，装满了糖又酸的发烫，永远永远。,财经商业,207,11,美食;财经;魔幻;人生;生活;饮料;情感;商业;冰红茶;万物研究所;万物研究所·第八期,20215;66849;87005;3459;1742;72140;66605;251524;33823;24688044;35165293,1128,745,0,1913,0,21265,698,524,320242,1,0,无,无,无
1676475267,351769782,1006371758,1899080953,演员失误所造就的经典镜头：甘道夫磕头成经典，星爵还是那么逗,牛顿疯长,1676290396,1676290396,103,演员失误所造就的经典镜头,影视杂谈,182,4,失误;经典镜头;经典好剧考古安利;影娱新春游园会,30026;194400;33344246;33364628,94,35,0,599,0,23058,53,6,387731,1,0,无,无,无
1676475270,436868507,1007787466,3032988,上头的麻辣鲜香来凤鱼！跟我来吃重庆江湖菜！,密子君,1676377718,1676377718,396,"YouTube 频道：密子君 Mires 
原创视频投稿：hr@ariesmedia.cn",美食侦探,212,12,美食;川菜;鱼香肉丝;美食圈;探店;江湖菜;Vlog;来凤鱼;探店vlog;吃货生活;“遇见你，怦然心动”2023情人节活动;情人节美食记录,20215;289315;525659;1207642;1469519;2326616;2503953;3311590;7627128;7872886;35076622;35523308,1391,668,0,730,0,14074,294,334,220376,1,0,无,无,无
1676475276,821988517,1008566177,26108626,警监、警督、警司……警衔级别到底是怎么划分的？,赛雷三分钟,1676428958,1676428959,374,《狂飙》是一部时间跨度很大的剧，主角形象的变化，很大程度反映了他们这二十年的人生。安欣在开头和结尾的警衔，就引起了大家的注意。,职业职场,209,9,警察;科普;安欣;寻找100位内行人对谈;等级;狂飙;警种;警衔;分享我的职业故事,3079;5417;11601888;33186535;371986;20496;2136862;7642969;32126148,974,202,0,2507,0,16957,332,332,172921,1,0,无,无,无
1676475281,609281377,1006281961,33862260,如何整治外国人版《绝望的文盲》？【国际尬聊29】,Risto里斯特,1676282400,1676273337,92,"宝儿，快关注我快关注我呀！不然我就丢了！！！
每周一的更新来啦！！！ 你还在犹豫什么，快快一键三连啊！！！",日常,21,11,外国人;搞笑;英语;西班牙语;老外;国际连线;种族歧视;黑人;绝望的文盲;随手记录我的生活碎片;生活万花筒5.0·生活这件小事,39206;1833;8816;54569;2377;15112250;148784;33869;19833629;29760086;35165532,1227,656,0,4513,0,51792,224,265,282326,1,0,无,无,无
1676475285,991760608,1007548754,581695,【春分】DC-1至8挂机流，突袭也不愁！语音快乐详解，轻松解放双手 | 明日方舟攻略(含DC-8突袭，DC-S-1，DC-S-2等),自在道爷,1676363785,1676363785,1597,"懒人福利，摆完挂机。高容错，没有轴，轻松解放双手！
特殊关注的就是开了一级模组，技能基本都是专三。如果练度不够，换成对应的决战技试试。
（村规：尽量不用限定；先锋技能好了就开，加速挂机所以不算手动；至于42的黄昏，山的横扫架势，棘刺的至高之术之类均要手点，不用。）
突袭打法同样适用于普通，如有特殊条件会单独讲解，任务与刻章打普通才能拿。",手机游戏,172,8,手机游戏;明日方舟;懒人挂机流;游戏攻略;游戏鉴赏家;泰拉探索协会;明日方舟创作者应援计划;明日方舟UP主应援计划 – 春分,3007;4610466;18850143;90439;5034734;22177849;23353468;35188341,3975,363,0,1357,0,6521,206,155,198920,1,0,无,无,无
1676475289,266572653,1000411641,14576879,今天请好兄弟吃西餐~,里昂聊游戏,1675939338,1675939339,83,好兄弟。。。。。。。。。。。。。。。。。。。。呜呜呜呜呜呜呜哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,单机游戏,17,3,万物皆可游戏;重情义;好兄弟,20563743;10858518;74989,1644,641,0,23919,0,37022,298,525,1327170,1,0,无,无,无
1676475300,394380284,1008444655,269319344,电锯人第二季23.三鹰变狗！电次配合那由多完成骗局，吉田脊椎剑或将出现？！,光影笔墨,1676418468,1676418469,395,"情人节限定节目，趁着失落感的空隙 挖墙脚！
本期视频对应漫画120话。",动漫杂谈,253,8,动漫杂谈;电次;电锯人2;热血;战斗;笔墨;电锯人;电锯人第二部,530918;12053336;21269594;3545;5242;1657770;8945999;17679318,2509,810,0,1201,0,13693,727,349,168389,1,0,无,无,无
1676475311,566600425,1000370582,3493133828491639,盘串小子,花大北丶,1676174400,1675934993,97,寄生虫花絮04,日常,21,9,自制;可爱;生活;剪辑;搞笑;原创;盘串;春日娱人大联欢;影娱新春游园会,1217;2423;1742;8990;1833;536;10383985;33055701;33364628,6732,462,0,3859,0,42862,750,391,355910,1,0,无,无,无
1676475327,266934097,1008440761,13371339,全近战六星干员 VS 突袭·皇帝的利刃 ，国度之中决生死【明日方舟】,樗柒ヽ,1676417936,1676417936,671,"刷突袭废了很多石头希望大家能三连回回血（>_<）
敌人属性：33600血 690攻 460防御 40法抗 6重量
二阶段：攻击力提升50%，近战攻击造成攻击力250%物理伤害
每损失25%生命值，以特殊索敌逻辑释放【国度】
坍缩恐惧：对半径2.5范围内所有我方单位造成100%的法术溅射伤害
※强制击杀位于【国度】中可被选中的我方单位
BGM:May'n,中島愛 - ライオン
ClariS - コネクト
いとうかなこ - ファティマ",手机游戏,172,7,手机游戏;明日方舟;电子斗蛐蛐;阿米娅;整活;明日方舟创作者应援计划;明日方舟UP主应援计划 – 春分,3007;4610466;25540070;5433094;7375172;23353468;35188341,927,1279,0,1057,0,17792,1152,711,312300,1,0,无,无,无
1676475336,651695689,1002809687,531481791,暗信VS露娜，心理战的顶级博弈！,秋山官方账号,1676087540,1676087540,241,暗信VS露娜，心理战的顶级博弈！,电子竞技,171,8,电子竞技;王者荣耀UP主激励计划;暗信;李信;MOBA;心理战;秋山;博弈,62526;21618618;6025210;450795;254029;22418;1044019;67096,3203,354,0,5662,0,37504,691,738,516701,1,0,纵使你再优秀,,纵使你再优秀
1676475348,479290548,1007253238,490505561,【最吓人流浪】被找到时尸体只有60斤，富二代啥都不带去野外冒险,郑郑得证,1676365200,1676352708,664,"电影素材来自此事件改编：《荒野生存》
避免复制简介上热评，此处省略。。。。
视频素材来源于网络",人文历史,228,10,生存;睡前故事;奇闻;冒险;案件;露营;野外;事故;荒野生存;历史人文档案馆,14224;144317;25655;26030;320365;840887;12270;6280;32719;24687523,393,904,0,1851,0,10532,843,201,214728,1,0,无,无,无
1676475359,864392834,1008514844,101229184,寻根食记（四）红薯——云南高原红土地里的软糯香甜【滇西小哥】,滇西小哥,1676454900,1676431403,1055,要说起红薯，那肯定是我们童年零食里最有温度的香甜，睡意朦胧中阿妈拿着灶台里的烤红薯叫我起床，只要家里烧火做饭，早上都是有烤红薯吃的。这种在高原红土地里的红薯，入口软糯香甜，又粉又面还不哽人。晒了些红薯干，蒸了红薯粉蒸排骨，做了在四川时候很喜欢吃的苕皮和红薯粉，果然，我爱吃粉的性格 是随了奶奶，她说这碗粉是我几年做的最好吃的东西！,美食制作,76,10,美食;酸辣粉;云南美食;红薯;乡村美食;红薯干;农村美食;苕皮;滇西小哥;红土地,20215;626341;1106510;231008;2534449;2581648;2774618;3349531;3697624;4030700,8545,1804,0,1816,0,19110,409,463,164412,1,0,无,无,无
1676475370,694272643,1004925352,97395295,完全没道理,一只胖头鱼o,1676202882,1676202883,153,原视频：呆萌羊驼,鬼畜剧场,216,8,搞笑;鬼畜;姿态老鼠;完全没道理;姿态;刚子;水晶哥;鬼畜剧场,1833;68;34998369;35453220;332416;637915;4240744;7740510,2656,96,0,1069,0,10687,186,2340,161661,1,0,无,无,无
1676475377,991750314,1007531345,473129312,“一定会有一个人出现，驱散黑暗拥抱你……”,青衣程蝶衣,1676368840,1676366665,620,"故事来源：光遇玩家——朝南
画师：@啊啊啊啊啊研  

情人节快乐~",日常,21,11,青春;情侣;爱情;情感;生活;情人节;恋爱这件小事;光遇;光遇同心节;生活万花筒5.0·生活这件小事;眼里有光遇见心动,1409;66611;943;66605;1742;16869;2569544;4676432;24330576;35165532;35511318,792,211,0,907,0,4957,189,241,79903,1,0,无,无,无
1676475383,351663186,1003147382,94114029,北京自助餐天花板？龙虾鳄鱼鹅肝海胆，哪些值得吃？,吃货请闭眼,1676111400,1676103371,546,,美食侦探,212,8,美食;自助餐;海鲜;铭门盛宴;鳄鱼肉;探店;海鲜自由;天南海北家乡味,20215;58184;104037;17638503;498768;1469519;15860055;33105243,13583,1721,0,3007,0,46959,620,1562,435729,1,0,无,无,无
1676475400,651751126,1007735319,104092224,中国“95后”女孩向叙利亚捐助6000包卫生巾,中新视频,1676372356,1676372357,167,北京时间2月13日，6000包卫生巾启程运往叙利亚。这些卫生巾来自一名中国的“95后”女孩阮阮，她自发发起、联系了向叙利亚地震灾区捐助卫生巾的活动，并自费垫款一万多元。阮阮告诉中新社记者：“有一句话我还挺喜欢的，中文的意思是：从我们出生我们便是相同的，希望我的姐妹们平安。”,综合,206,6,正能量;爱心;土耳其;卫生巾;捐助;土耳其地震,33129;8301;148409;54308;1042214;13031021,1609,451,0,994,0,27324,1197,325,149022,1,0,无,无,无
1676475414,266872865,1007354869,509278225,平时拆沙发就算了，这次居然搞到我头上了，去告诉黑豹我想吃鱼,豫西小丁,1676356588,1676356588,272,平时拆沙发就算了，这次居然搞到我头上了，去告诉黑豹我想吃鱼,汪星人,219,9,汪星人;萌宠;动物观察局;大圣;阿拉斯加;黑豹;罗威纳;恶霸犬;动物观察局18.0 小动物聊天室,9955;6943;19337540;69002;24762;25337;1441421;1717054;35256673,1229,905,0,332,0,11186,507,461,207650,1,0,无,无,无
