video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否周末,是否原创_1,是否原创_2,是否合作_0,是否合作_1,有无简介_0,有无简介_1,有无广告_0,有无广告_1,标题样式_。,标题样式_！,标题样式_？,是否周末_False
223829874,1676529144,992735192,张国栋（栋梁）造价设计：报表数据源区用计价软件如何使用？,1675850400,1675492948,136,职业职场,4,0,0,0,0,0,0,0,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,600.0,1260.0,-0.0007936507936507937,-0.0007936507936507937,0,？,0,7.855833333333333,240.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,0,1,1
223851621,1676529329,991273414,当一个物料有停产之后，如何快速的进行物料变更，提升物料的管理效率,1675847700,1675408700,129,职业职场,5,0,0,4,0,1,0,1,49,1,0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,50.0,3.0,1279.0,220.0,-0.004545454545454545,-0.004545454545454545,1,。,0,7.889224537037037,184.8,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223857353,1676525965,991082312,好物分享怎么挂双链接,1675936800,1675400954,62,职业职场,7,0,0,1,0,0,0,0,19,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,1508.0,359.0,-0.002785515320334262,-0.002785515320334262,1,。,0,6.819039351851852,0.5714285714285714,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223880205,1676528784,999731413,初会《经济法基础》每日一练第617天，准予扣除的职工教育经费支出为,1675859400,1675755659,134,职业职场,4,0,0,1,0,0,0,0,23,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,3.0,4899.0,2774.0,-0.0003604902667627974,-0.0003604902667627974,1,。,0,7.7475,409.75,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223886320,1676521618,996947601,一个视频告诉你，营销的重要性！,1676109600,1675738396,68,职业职场,4,0,0,1,0,2,0,0,88,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,88.0,2.0,235.0,82.0,-0.012195121951219513,-0.012195121951219513,0,！,0,4.768726851851852,910.75,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,1,0,1
223887741,1676529325,995975138,教育心理学知识梳理part3,1675847880,1675672093,1699,职业职场,10,0,0,1,0,2,0,0,13,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,13.0,2.0,33.0,70.0,-0.014285714285714285,-0.014285714285714285,0,。,0,7.887094907407407,48836.9,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
223893251,1676519763,997568564,国内外工作时长对比：建筑界从业入坑才知道的小秘密,1676167200,1675767718,99,职业职场,10,2,0,2,0,9,3,2,219,1,0,2.0,0.0,0.0,2.0,9.0,3.0,4.0,224.0,4.0,140.0,41.0,-0.024390243902439025,-0.024390243902439025,1,。,0,4.080590277777778,1674.8,1,0,2.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223902087,1676517568,997092085,2023江苏省考面试模拟题目讲解--领导受不了这样的下属,1676214300,1675819798,472,职业职场,10,4,0,0,0,5,2,0,37,1,0,4.0,0.0,0.0,0.0,5.0,2.0,0.0,40.0,5.0,641.0,147.0,-0.006802721088435374,-0.006802721088435374,1,。,0,3.5100462962962964,10497.3,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223912951,1676526799,997289425,新USD 3D系统介绍 | 4.导入几何体与检查舞台,1675922400,1675755202,141,职业职场,11,0,0,1,0,2,0,0,52,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,52.0,4.0,6217.0,569.0,-0.0017574692442882249,-0.0017574692442882249,1,。,0,6.995358796296296,93254.72727272728,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223921923,1676528237,995936445,拼多多开直通车，想不亏钱，教你几个简单有效的思路,1675901700,1675670097,198,职业职场,10,0,0,0,0,2,1,0,31,1,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,31.0,3.0,1650.0,588.0,-0.0017006802721088435,-0.0017006802721088435,1,。,0,7.251585648148148,4435.8,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223922163,1676516440,997262594,会计做账5大误区之③“混沌摘要”,1676272080,1675757867,80,职业职场,8,0,0,1,0,2,0,0,47,1,0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,54.0,2.0,2023.0,69.0,-0.014492753623188406,-0.014492753623188406,1,。,0,2.828240740740741,591.125,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
223984025,1676528970,997752107,21天轻松过二甲！普通话一乙、二甲跟练版-第七天,1675854000,1675775957,115,职业职场,10,4,0,6,0,9,1,0,237,1,0,4.0,0.0,0.0,7.0,9.0,1.0,0.0,261.0,2.0,511.0,24.0,-0.041666666666666664,-0.041666666666666664,1,！,0,7.8121527777777775,463.2,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,0,1,0,1
223986810,1676524476,997417834,【电商运营前途】这个职业前途在哪里？,1676001600,1675761087,86,职业职场,3,0,0,0,0,0,1,0,39,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,40.0,2.0,449.0,140.0,-0.007142857142857143,-0.007142857142857143,1,？,0,6.051805555555555,423.6666666666667,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,0,0,1,1
224000849,1676521616,998799236,足够的准备和积累对创业者来说有多重要？,1676109600,1675844151,60,职业职场,10,0,0,0,0,0,1,0,13,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,19.0,-0.05263157894736842,-0.05263157894736842,1,？,0,4.768703703703704,14456.6,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,0,0,1,1
224001047,1676526531,1000148172,【墙裂推荐】在家实现躺赢人生，分享我的经验与操作方法,1675925521,1675925521,179,职业职场,11,3,19,31,0,27,16,16,434,1,0,3.0,19.0,0.0,31.0,27.0,16.0,16.0,434.0,2.0,5.0,1.0,-1.0,-1.0,0,。,0,6.956134259259259,6447.727272727273,3,3,0.5555555555555556,0.5555555555555556,False,1,0,1,0,1,0,1,0,1,0,0,1
224005050,1676528456,999374684,在职涨薪｜普本毕业3年月入2w，真实经历总结5大秘诀！,1675871211,1675871211,328,职业职场,4,24,3,32,0,77,8,9,865,1,0,24.0,3.0,0.0,34.0,78.0,8.0,11.0,925.0,5.0,2996.0,7.0,-0.14285714285714285,-0.14285714285714285,1,！,0,7.607002314814815,440631.75,2,2,0.3333333333333333,1.3333333333333333,False,1,0,1,0,0,1,1,0,0,1,0,1
224005796,1676529069,998904262,PPT基础课程第9课（修改）,1675850668,1675850668,934,职业职场,3,0,0,1,0,0,0,0,24,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,3.0,19.0,18.0,-0.05555555555555555,-0.05555555555555555,1,。,0,7.851863425925926,44325.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224005884,1676525535,998409128,2023年二建-建筑实务-消防验收,1675947900,1675825865,444,职业职场,8,0,0,0,0,2,0,0,75,1,0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,79.0,5.0,15388.0,357.0,-0.0028011204481792717,-0.0028011204481792717,1,。,0,6.685590277777778,1961.125,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224006089,1676527682,999873879,2022年越南社交网络最受欢迎的电商平台排行榜发布#潮州 #跨境电商 #外贸,1675913105,1675913105,104,职业职场,7,0,0,0,0,0,0,0,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,292.0,454.0,-0.0022026431718061676,-0.0022026431718061676,0,。,0,7.113159722222222,668.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224008279,1676526827,1000054009,老员工遭遇瓶颈期，作为管理者如何帮TA破局？,1675921543,1675921543,175,职业职场,8,0,0,1,0,1,1,0,503,1,0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,527.0,3.0,1381.0,95.0,-0.010526315789473684,-0.010526315789473684,1,？,0,7.005601851851852,15997.75,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,0,0,1,1
224008585,1676526075,998735870,10秒将1000个姓名转成列111,1675935000,1675841325,63,职业职场,4,11,0,157,0,162,2,1,11450,1,0,13.0,0.0,0.0,198.0,211.0,2.0,3.0,15091.0,4.0,22223.0,219.0,-0.0045662100456621,-0.0045662100456621,0,。,0,6.841145833333333,9925.5,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224009861,1676525390,1000836619,商务风经理年终总结PPT模板，PPT文件：zcfff（加个点）com,1675956527,1675956528,181,职业职场,3,0,0,0,0,0,0,0,8,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,379.0,643.0,-0.0015552099533437014,-0.0015552099533437014,1,。,0,6.5840625,125.66666666666667,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224012052,1676525078,1001233429,就是娱乐圈，影视行业的内幕。并不是我们自身演员的问题，而是导演组内部人员的问题。,1675995605,1675995605,206,职业职场,10,0,0,0,0,0,0,0,7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,414.0,261.0,-0.0038314176245210726,-0.0038314176245210726,0,。,0,6.128159722222223,20150.9,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224012160,1676523828,999615214,全职做视频第一年：收入、内容创作管理、优缺点，小博主的困境【阿乐杂货铺】,1676023200,1675930140,476,职业职场,6,252,38,114,0,437,64,15,6315,1,0,264.0,47.0,0.0,132.0,460.0,67.0,20.0,7192.0,5.0,31046.0,97.0,-0.010309278350515464,-0.010309278350515464,1,。,0,5.794305555555556,14199.666666666666,23,23,1.2413793103448276,2.793103448275862,False,1,0,1,0,0,1,1,0,1,0,0,1
224014103,1676525357,1000889151,16. Ageism in The Interview Process-Are You a Victim？,1675959689,1675959689,1041,职业职场,10,0,0,1,0,0,0,0,18,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,4.0,3398.0,128.0,-0.0078125,-0.0078125,0,？,0,6.547083333333333,32378.4,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,0,1,1
224016124,1676525402,1000821716,这期视频干货满满，耐心观看,1675955627,1675955628,223,职业职场,11,48,2,233,0,408,9,22,6167,1,0,48.0,2.0,0.0,237.0,417.0,9.0,22.0,6318.0,6.0,343978.0,227.0,-0.004405286343612335,-0.004405286343612335,0,。,0,6.594618055555555,1715.3636363636363,0,0,0.42857142857142855,5.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224017492,1676528047,999771621,有一造，在工地里，没关系的我还是输给了关系户！,1675908396,1675908396,181,职业职场,11,8,4,10,0,41,40,5,2866,1,0,8.0,4.0,0.0,10.0,43.0,42.0,5.0,2995.0,2.0,5.0,1.0,-1.0,-1.0,1,！,0,7.171886574074074,307.3636363636364,0,0,1.6470588235294117,2.1176470588235294,False,1,0,1,0,0,1,1,0,0,1,0,1
224018046,1676525807,999368199,"397-削波失真,截止失真与饱和失真,静态偏置不合理的后果",1675940820,1675869465,122,职业职场,9,3,0,10,0,25,1,0,234,1,0,3.0,0.0,0.0,11.0,25.0,1.0,0.0,244.0,5.0,31738.0,370.0,-0.002702702702702703,-0.002702702702702703,1,。,0,6.77068287037037,45.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224018206,1676528950,998857724,事业编提拔副科工资只加了300，那为什么还挤破头想提拔？,1675854032,1675846642,241,职业职场,7,25,13,72,0,335,178,26,28625,1,0,28.0,13.0,0.0,73.0,345.0,183.0,26.0,29523.0,6.0,78463.0,222.0,-0.0045045045045045045,-0.0045045045045045045,1,？,0,7.811550925925926,4496.428571428572,11,1,3.608695652173913,11.76086956521739,False,1,0,1,0,0,1,1,0,0,0,1,1
224019311,1676526268,998892735,099-FeignClient的创建,1675931498,1675931499,1366,职业职场,4,0,0,0,0,0,0,0,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,27.0,117.0,-0.008547008547008548,-0.008547008547008548,1,。,0,6.883912037037037,10188.25,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224020146,1676528634,999262954,TED演讲｜第➏集【挑战自己，用30天改变人生】,1675864799,1675864799,189,职业职场,10,0,0,13,0,6,0,0,169,1,0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,179.0,2.0,1301.0,11.0,-0.09090909090909091,-0.09090909090909091,0,。,0,7.683275462962963,128108.7,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224020536,1676527468,999887924,听说只有2%的人可以上985，怎么才能是这类人！,1675913810,1675913810,66,职业职场,4,0,0,0,0,0,0,0,31,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,2.0,2.0,18.0,-0.05555555555555555,-0.05555555555555555,0,！,0,7.102523148148149,68493.5,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,1,0,1
224020826,1676528081,999751804,Python的数据类型,1675907433,1675907433,1039,职业职场,10,0,0,1,0,0,0,0,16,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,5.0,269.0,22.0,-0.045454545454545456,-0.045454545454545456,1,。,0,7.183425925925926,222113.4,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224021289,1676525060,1001258347,筑为智慧经营管理系统v4.0操作指南2-设置项目管理组,1675996156,1675996156,241,职业职场,4,0,0,0,0,1,0,0,14,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,2.0,6.0,-0.16666666666666666,-0.16666666666666666,1,。,0,6.121574074074074,0.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224021927,1676525772,998645473,7 Dynamesh与zbrush自定义UI,1675942200,1675844416,612,职业职场,10,12,0,33,0,25,4,0,450,1,0,12.0,0.0,0.0,33.0,25.0,4.0,0.0,476.0,4.0,5412.0,63.0,-0.015873015873015872,-0.015873015873015872,1,。,0,6.754305555555556,9683.1,2,0,1.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224022400,1676527906,999826595,17- 11技术方案现金流量表的编制 一建 工程经济,1675911961,1675911961,161,职业职场,11,0,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1917.0,242.0,-0.004132231404958678,-0.004132231404958678,1,。,0,7.128993055555555,15560.545454545454,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224023065,1676526540,1000147684,2,1675925228,1675925228,249,职业职场,1,0,0,0,0,0,0,0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,-0.5,-0.5,0,。,0,6.95962962962963,1635975.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224023550,1676528853,998426824,管理与法规65-公共行政学-公共行政与政策A,1675857900,1675826686,870,职业职场,1,0,0,0,0,0,0,0,87,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,4.0,1.0,101.0,-0.009900990099009901,-0.009900990099009901,0,。,0,7.765659722222222,4917.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224024361,1676526868,999981869,2.9 排列五两定参考预测,1675919771,1675919771,168,职业职场,3,0,0,3,0,15,4,3,862,1,0,0.0,0.0,0.0,3.0,15.0,4.0,3.0,867.0,2.0,343.0,17.0,-0.058823529411764705,-0.058823529411764705,0,。,0,7.026585648148148,1.3333333333333333,0,0,0.5,0.5,False,1,0,1,0,1,0,1,0,1,0,0,1
224025845,1676527967,999824304,宅家搬砖一个月稳定收入7.4w，只要你肯吃苦熬夜，这两三年你也可以富起来！,1675911137,1675911137,198,职业职场,10,2,22,20,0,20,12,28,246,1,0,2.0,22.0,0.0,20.0,20.0,12.0,28.0,258.0,2.0,1.0,1.0,-1.0,-1.0,0,！,0,7.139236111111111,171124.9,4,1,1.4,0.4,False,1,0,1,0,1,0,1,0,0,1,0,1
224026216,1676527884,999859399,初级会计报名流程是怎样的?,1675912497,1675912497,172,职业职场,3,0,0,1,0,0,1,0,52,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,54.0,3.0,7150.0,227.0,-0.004405286343612335,-0.004405286343612335,0,。,0,7.122534722222222,419.3333333333333,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224026222,1676525834,1000133080,【专业就业】第131集：虚拟现实技术专业——学习范围很广的专业！就业前景如何？,1675940400,1675924643,83,职业职场,5,0,0,0,0,1,0,0,68,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,75.0,2.0,278.0,185.0,-0.005405405405405406,-0.005405405405405406,0,？,0,6.7758564814814815,2034.4,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,0,0,1,1
224027115,1676529617,998718250,05 煤矿安全管理概述05,1675840750,1675840750,301,职业职场,1,0,0,0,0,0,0,0,12,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1232.0,2356.0,-0.00042444821731748726,-0.00042444821731748726,0,。,0,7.972997685185185,1635975.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224027951,1676526329,1000245210,二建考试时间确定，一建和二建每隔3个月考一次，建议同时准备,1675930170,1675930170,78,职业职场,6,0,0,1,0,5,4,0,237,1,0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,248.0,4.0,3458.0,8.0,-0.125,-0.125,0,。,0,6.899988425925926,751.8333333333334,1,0,1.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224030228,1676511432,1000315384,1  BI看板的构建原则,1676424060,1675940785,245,职业职场,11,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,3.0,9.0,-0.1111111111111111,-0.1111111111111111,1,。,0,1.01125,12118.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224032068,1676525722,1000214553,【超级卖手攻略】当客户觉得你的产品卖的比别人贵，如何挽留他的脚步？,1675943100,1675928113,161,职业职场,6,0,0,1,0,0,0,0,21,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,147.0,199.0,-0.005025125628140704,-0.005025125628140704,1,？,0,6.7433101851851855,16129.5,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,0,0,1,1
224032157,1676525304,1001051241,自学IC版图设（计视-频）教程-.Virtuoso版图设计__0,1675976025,1675976025,1565,职业职场,9,0,0,0,0,0,0,0,6,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,230.0,2927.0,-0.00034164673727365904,-0.00034164673727365904,0,。,0,6.357395833333333,54127.88888888889,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224033814,1676525179,1000471428,美女健身房练蜜桃臀，竟被酷酷拿下，真不亏待是好兄弟,1675990800,1675940699,97,职业职场,12,4,1,127,0,105,14,0,22500,1,0,4.0,1.0,0.0,130.0,107.0,14.0,0.0,23226.0,5.0,1009.0,518.0,-0.0019305019305019305,-0.0019305019305019305,0,。,0,6.184942129629629,310477.5,6,6,1.2857142857142858,7.857142857142857,False,1,0,1,0,1,0,1,0,1,0,0,1
224034838,1676528681,999227101,112-半泽直树09,1675863074,1675863074,193,职业职场,1,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,175.0,122.0,-0.00819672131147541,-0.00819672131147541,1,。,0,7.703784722222222,141963.0,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224035304,1676525633,1000607667,制定发展计划,1675945653,1675945653,109,职业职场,2,0,0,0,0,1,0,0,8,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,2.0,5.0,21.0,-0.047619047619047616,-0.047619047619047616,0,。,0,6.712731481481481,1.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224035587,1676525710,1000562856,市政给排水设（计视-频）教程-给水系统,1675943696,1675943696,1401,职业职场,6,0,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,230.0,2927.0,-0.00034164673727365904,-0.00034164673727365904,0,。,0,6.736273148148148,60113.666666666664,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224037211,1676527987,999783955,批发订单,1675910787,1675910787,305,职业职场,2,0,0,0,0,0,0,0,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,-0.25,-0.25,0,。,0,7.143518518518518,817993.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224038188,1676529517,998784769,26产品负责人习题讲解,1675843614,1675843614,858,职业职场,10,0,0,0,0,2,0,0,7,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,3.0,498.0,206.0,-0.0048543689320388345,-0.0048543689320388345,1,。,0,7.938692129629629,26.1,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224038608,1676523634,1001174928,医师资格考试西医外科主治基础知识9,1676028000,1675991913,153,职业职场,8,0,0,0,0,2,0,0,30,1,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,2.0,2572.0,185.0,-0.005405405405405406,-0.005405405405405406,0,。,0,5.736504629629629,87.0,0,0,0.0,0.0,False,1,0,1,0,1,0,1,0,1,0,0,1
224039136,1676525774,1000521004,本科汉语言文学-审美活动的发生@北京颉远集团靠谱,1675942197,1675942197,1465,职业职场,6,0,0,0,0,1,0,0,82,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,82.0,1.0,0.0,3.0,-0.3333333333333333,-0.3333333333333333,1,。,0,6.754363425925926,17.333333333333332,0,0,0.0,0.0,False,1,0,1,0,0,1,1,0,1,0,0,1
224040895,1676528071,999756306,为什么有的人看起来很普通，却能考上公务员？入编捷径大揭秘！,1675907643,1675907643,185,职业职场,11,0,0,3,0,4,6,1,96,1,0,0.0,0.0,0.0,3.0,4.0,6.0,1.0,99.0,2.0,1.0,3.0,-0.3333333333333333,-0.3333333333333333,1,？,0,7.180879629629629,3763.5454545454545,0,0,0.5,0.25,False,1,0,1,0,0,1,1,0,0,0,1,1
