video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,是否原创_1,是否原创_2,是否合作_0,是否合作_1,有无简介_0,有无简介_1,有无广告_0,有无广告_1,标题样式_。,标题样式_！,标题样式_？
224128111,1676476111,1001599048,张楚岚内心独白直接封神！“我就是要你们亲手送走陈朵…”【一人之下5】,1676021141,1676021141,229,国产原创相关,9,16120,611,18796,64,69860,2381,3601,1214759,1,0,16659.0,626.0,0.0,19548.0,71783.0,2390.0,3698.0,1246996.0,6,128620,326,-0.003067484662576687,-0.003067484662576687,1,！,0,5.265856481481482,39614.555555555555,30,47,3.598,109.524,1,0,1,0,0,1,1,0,0,1,0
224147193,1676476374,1004755232,《我的世界 但是使命召唤》,1676264400,1676187189,346,综合,10,5134,348,4494,0,16558,259,585,143442,1,0,5820.0,403.0,0.0,5602.0,20111.0,274.0,678.0,171986.0,6,10603,24,-0.041666666666666664,-0.041666666666666664,1,。,0,2.453402777777778,74030.1,6,188,0.18571428571428572,5.057142857142857,1,0,1,0,0,1,1,0,1,0,0
224149899,1676478707,1001788787,他穿着裤衩冲进中南海，却指挥了6位副总理，调动了14万解放军,1676020722,1676020722,328,人文历史,11,6340,440,4905,0,33211,468,448,589403,1,0,6827.0,461.0,0.0,5440.0,36986.0,491.0,494.0,625325.0,6,230252,185,-0.005405405405405406,-0.005405405405405406,1,。,0,5.300752314814815,4694.545454545455,5,5,4.2052980132450335,209.3841059602649,1,0,1,0,0,1,1,0,1,0,0
224151732,1676485684,1001771274,借款10万凑了24万彩礼后女方要求我买房子才能结婚,1676019656,1676019656,263,社科·法律·心理,10,615,622,731,0,6678,1361,1723,311767,1,0,635.0,633.0,0.0,738.0,6809.0,1374.0,1754.0,316587.0,6,538668,168,-0.005952380952380952,-0.005952380952380952,1,。,0,5.393842592592593,124.8,2,1,1.84,28.086,1,0,1,0,0,1,1,0,1,0,0
224171707,1676479115,1004300774,[Genshin Hole]1分22秒带你过完原神剧情,1676174179,1676174179,87,手机游戏,6,894,51,1872,0,6248,106,143,27747,1,0,983.0,71.0,0.0,1995.0,6664.0,111.0,155.0,30779.0,5,5742,120,-0.008333333333333333,-0.008333333333333333,0,。,0,3.529351851851852,217938.33333333334,0,0,0.22093023255813954,14.813953488372093,1,0,1,0,1,0,1,0,1,0,0
224179294,1676484852,1004226207,我 解 决 了 电 车 难 题!!!【世纪地狱难度】,1676174078,1676174078,1115,单机游戏,13,4855,14968,21023,75,45866,1394,311,791590,1,0,5174.0,15322.0,0.0,24101.0,48165.0,1434.0,325.0,873382.0,6,1314977,137,-0.0072992700729927005,-0.0072992700729927005,1,。,0,3.5969212962962964,368126.76923076925,4,57,0.6052104208416834,8.450901803607215,1,0,1,0,0,1,1,0,1,0,0
224181629,1676478567,1002272253,买敞篷小牛一年要亏多少钱？！,1676088300,1676049426,561,汽车生活,11,4013,1288,2278,0,35023,470,736,453729,1,0,4103.0,1318.0,0.0,2401.0,37429.0,492.0,760.0,487333.0,6,2818767,322,-0.003105590062111801,-0.003105590062111801,1,？,0,4.516979166666666,310293.9090909091,0,0,0.5093167701863354,15.263975155279503,1,0,1,0,0,1,1,0,0,0,1
224183418,1676477863,1002412651,这玩意是真下饭！,1676088000,1676051122,76,美食制作,9,2782,424,4607,0,75413,496,672,640984,1,0,2977.0,455.0,0.0,5175.0,81926.0,522.0,755.0,713251.0,6,1227050,158,-0.006329113924050633,-0.006329113924050633,1,！,0,4.51230324074074,675077.5555555555,2,2,0.531055900621118,8.372670807453416,1,0,1,0,0,1,1,0,0,1,0
224184331,1676476808,1001903863,可恶！被跳舞机恶魔支配了！【Mystery少女团】,1676032500,1676026043,96,明星舞蹈,12,12889,426,23321,0,45579,559,4536,446815,1,1,13562.0,435.0,0.0,24469.0,47830.0,578.0,4790.0,474785.0,6,45015,38,-0.02631578947368421,-0.02631578947368421,0,！,0,5.142453703703704,42018.0,3,1,0.4587378640776699,10.618932038834952,1,0,0,1,1,0,1,0,0,1,0
224187683,1676475893,1003667640,“他亲手杀了世上最爱他哥哥的人”,1676176200,1676127448,196,影视剪辑,7,12659,375,13195,0,27859,1003,4253,536459,1,0,13614.0,393.0,0.0,14685.0,29895.0,1040.0,4578.0,573958.0,6,346789,143,-0.006993006993006993,-0.006993006993006993,1,。,0,3.4686689814814815,70818.28571428571,2,5,0.7775551102204409,46.57915831663327,1,0,1,0,0,1,1,0,1,0,0
224211764,1676478682,1001993772,如何用面包车，跑赢GTR？,1676084400,1676035805,798,汽车生活,10,91192,4691,14435,40,79136,1591,4022,778911,1,0,92583.0,4781.0,0.0,14703.0,80317.0,1608.0,4097.0,794005.0,6,668803,77,-0.012987012987012988,-0.012987012987012988,0,？,0,4.563449074074074,60928.3,9,5,0.6933867735470942,25.697394789579157,1,0,1,0,1,0,1,0,0,0,1
224213421,1676484008,1001455744,“中国不能失去山东，就像西方不能失去耶路撒冷”,1676010885,1676010885,101,搞笑,5,11881,881,21079,0,106729,562,872,743745,1,0,12772.0,913.0,0.0,22444.0,113738.0,577.0,929.0,786111.0,6,264280,101,-0.009900990099009901,-0.009900990099009901,0,。,0,5.475960648148148,58379.4,1,0,1.1688741721854305,47.4271523178808,1,0,1,0,1,0,1,0,1,0,0
224217076,1676478702,1004168562,南极宝贝,1676168973,1676168973,151,出行,7,1302,254,6366,0,39159,233,2243,174054,1,0,1486.0,265.0,0.0,7178.0,42906.0,262.0,2407.0,188573.0,6,368610,67,-0.014925373134328358,-0.014925373134328358,1,。,0,3.5848263888888887,131493.42857142858,0,0,0.4093567251461988,8.970760233918128,1,0,1,0,0,1,1,0,1,0,0
224221985,1676480746,1003249148,他为保护邮件安全，与劫匪搏斗，手筋被砍断，头骨被打破……,1676107946,1676107946,71,日常,5,21281,1189,30221,25,245798,1044,1525,1229992,1,0,22478.0,1230.0,0.0,32479.0,256269.0,1080.0,1589.0,1305775.0,6,86648,51,-0.0196078431372549,-0.0196078431372549,1,。,0,4.314814814814815,17835.6,4,3,0.87,60.518,1,0,1,0,0,1,1,0,1,0,0
224225595,1676477564,1002519191,是的，我们有一个私生女,1676086200,1676064028,596,搞笑,11,49528,4554,23349,20,109127,1302,11134,1295939,1,1,50007.0,4583.0,0.0,23441.0,110255.0,1311.0,11157.0,1317088.0,6,5294585,217,-0.004608294930875576,-0.004608294930875576,1,。,0,4.529675925925926,278325.45454545453,6,5,0.6653306613226453,46.98196392785571,1,0,0,1,0,1,1,0,1,0,0
224234005,1676482014,1001906041,给流浪猫制作冬季大型饮水器,1676028316,1676028316,208,喵星人,6,101449,3901,17506,5,285843,7275,1275,2228649,1,0,104269.0,3967.0,0.0,18105.0,292580.0,7415.0,1299.0,2290092.0,2,83807,7,-0.14285714285714285,-0.14285714285714285,0,。,0,5.251134259259259,216240.83333333334,1,0,12.549098196392785,64.48697394789579,1,0,1,0,1,0,1,0,1,0,0
224234995,1676479046,1002745282,属于那个时代的一缕微光,1676109600,1676101815,487,人文历史,4,5692,829,2784,0,32257,1363,381,239423,1,0,6017.0,856.0,0.0,2916.0,34029.0,1422.0,403.0,252945.0,6,758829,223,-0.004484304932735426,-0.004484304932735426,0,。,0,4.275995370370371,262064.75,2,0,2.896103896103896,25.106060606060606,1,0,1,0,1,0,1,0,1,0,0
224235069,1676485217,1004719739,专属详解版 | 显贵显质感的日常妆容~,1676103927,1676103927,884,美妆护肤,6,8390,800,22832,0,28275,646,1972,623882,1,0,8680.0,818.0,0.0,23906.0,29719.0,656.0,2038.0,654136.0,6,2154755,107,-0.009345794392523364,-0.009345794392523364,1,。,0,4.413078703703704,239663.33333333334,5,0,0.5407239819004525,11.099547511312217,1,0,1,0,0,1,1,0,1,0,0
224254619,1676481175,1006286850,偷偷带着男友复刻远古老照片，他会发现吗？？！,1676365200,1676291439,613,日常,12,9659,1898,3765,0,45623,613,1861,460456,1,0,11005.0,2060.0,0.0,4256.0,52100.0,663.0,2143.0,538177.0,6,891884,70,-0.014285714285714285,-0.014285714285714285,1,？,0,1.3423032407407407,68810.58333333333,1,2,0.3276955602536998,40.74207188160676,1,0,1,0,0,1,1,0,0,0,1
224258578,1676482816,1006047384,【时光音乐会2】情感浓郁到化不开，听希林娜依·高《夏至未至》叙事感满满,1676285293,1676285293,246,音乐现场,10,6475,2162,5607,0,10848,1590,11778,294909,1,0,7050.0,2269.0,0.0,6434.0,12114.0,1702.0,12353.0,335876.0,6,272577,826,-0.0012106537530266344,-0.0012106537530266344,1,。,0,2.2861458333333333,23320.3,0,2,0.7094188376753507,40.27054108216433,1,0,1,0,0,1,1,0,1,0,0
224259994,1676483464,1006333148,狂猫-之趁驱虫收拾猫德学院想当老大的猫,1676368800,1676292500,225,喵星人,7,6263,554,1152,0,38457,335,244,268016,1,0,6976.0,596.0,0.0,1254.0,42809.0,356.0,283.0,318021.0,6,2182738,275,-0.0036363636363636364,-0.0036363636363636364,0,。,0,1.3271296296296295,168026.7142857143,3,2,0.5909090909090909,39.34090909090909,1,0,1,0,1,0,1,0,1,0,0
224261872,1676475686,1006338122,全须弥最富有的史莱姆！,1676288377,1676288377,64,手机游戏,6,1447,238,20566,0,33735,337,3619,434086,1,0,1854.0,294.0,0.0,26072.0,42898.0,388.0,4438.0,557762.0,6,18829,168,-0.005952380952380952,-0.005952380952380952,1,！,0,2.1679282407407405,217253.16666666666,3,6,0.696078431372549,27.098039215686274,1,0,1,0,0,1,1,0,0,1,0
224269269,1676485786,1006494194,从计算机底层认识指针！深入理解C语言指针！,1676295197,1676295198,356,计算机技术,11,2364,278,5979,0,6049,406,534,120063,1,0,2577.0,295.0,0.0,6645.0,6707.0,426.0,575.0,131919.0,6,548316,108,-0.009259259259259259,-0.009259259259259259,1,！,0,2.2058912037037035,151103.72727272726,0,4,1.654320987654321,8.123456790123457,1,0,1,0,0,1,1,0,0,1,0
224272279,1676483114,1007272290,鬼：被我看到，可就别想跑了喔,1676367000,1676352033,500,单机游戏,10,3837,1327,3990,0,26767,374,695,224012,1,0,4255.0,1424.0,0.0,4458.0,29443.0,398.0,793.0,254206.0,6,2051759,149,-0.006711409395973154,-0.006711409395973154,1,。,0,1.343912037037037,471962.6,0,0,0.3548387096774194,38.90681003584229,1,0,1,0,0,1,1,0,1,0,0
224272607,1676482757,1006716033,【深海】南河同人COS《小丑》,1676305322,1676305322,161,仿妆cos,3,7232,365,4351,0,15850,446,1612,87672,1,0,8210.0,388.0,0.0,4960.0,17851.0,491.0,1872.0,99295.0,6,1060,15,-0.06666666666666667,-0.06666666666666667,1,。,0,2.0536458333333334,4203.666666666667,20,11,0.36904761904761907,15.354166666666666,1,0,1,0,0,1,1,0,1,0,0
224280177,1676483937,1005089552,常在河边走，哪有不丢鞋！,1676210560,1676210560,125,小剧场,7,3405,810,3685,0,78769,589,644,823637,1,0,3529.0,819.0,0.0,3954.0,82571.0,599.0,664.0,900945.0,6,1228382,332,-0.0030120481927710845,-0.0030120481927710845,0,！,0,3.164085648148148,482826.85714285716,0,0,0.37104072398190047,17.29185520361991,1,0,1,0,1,0,1,0,0,1,0
224283189,1676479525,1006606804,流浪大肠计划,1676365200,1676300207,229,鬼畜剧场,11,20587,2525,18706,25,98326,674,16926,1051109,1,1,29175.0,3209.0,0.0,26636.0,130050.0,816.0,23672.0,1542752.0,6,3476322,272,-0.003676470588235294,-0.003676470588235294,1,。,0,1.3232060185185186,303234.54545454547,0,0,0.7833333333333333,71.12916666666666,1,0,0,1,0,1,1,0,1,0,0
224286578,1676484700,1007464575,MV「孤零零工业革命」 /  裏命,1676376000,1676360127,237,VOCALOID·UTAU,3,1512,101,2430,0,2390,162,669,12405,1,0,3054.0,118.0,0.0,6224.0,5881.0,233.0,1255.0,36851.0,5,18849,7,-0.14285714285714285,-0.14285714285714285,1,。,0,1.2581018518518519,161027.0,1,0,0.26515151515151514,8.613636363636363,1,0,1,0,0,1,1,0,1,0,0
224288720,1676481727,1007697166,"斥巨资3000元!买了5张“坏卡”来维修,但是结果却...",1676377800,1676370970,641,数码,10,6202,1979,976,0,15108,597,450,202912,1,1,7756.0,2334.0,0.0,1230.0,18201.0,690.0,552.0,269705.0,6,802244,153,-0.006535947712418301,-0.006535947712418301,1,。,0,1.2028587962962962,94432.9,10,6,0.7710144927536232,13.266666666666667,1,0,0,1,0,1,1,0,1,0,0
224290392,1676479629,1007916577,美国火车事故放出大量毒物，会不会传到我国？,1676379829,1676379829,226,科学科普,11,6918,4096,5009,65,70361,4951,9608,986399,1,0,8194.0,4823.0,0.0,6283.0,84900.0,5841.0,11694.0,1254298.0,6,942720,171,-0.005847953216374269,-0.005847953216374269,1,？,0,1.1550925925925926,48279.63636363636,0,0,6.862,194.052,1,0,1,0,0,1,1,0,0,0,1
224292491,1676484825,1006312388,逗乐了！！黑衣组织最大战犯竟是老二！柯南最新主线1108朗姆拉稀之战,1676287530,1676287530,562,动漫杂谈,8,4880,2273,2843,0,21333,2211,3811,443130,1,0,5117.0,2351.0,0.0,2920.0,22048.0,2348.0,3989.0,470375.0,6,1081968,465,-0.002150537634408602,-0.002150537634408602,1,！,0,2.2835069444444445,96216.75,0,0,2.254,74.078,1,0,1,0,0,1,1,0,0,1,0
224297612,1676484072,1005389711,20万内最大马力汽油车！？,1676253600,1676231627,877,汽车生活,10,8489,3958,2950,0,38056,2141,6786,873786,1,1,8852.0,4092.0,0.0,3094.0,39277.0,2215.0,7153.0,920222.0,6,518016,157,-0.006369426751592357,-0.006369426751592357,0,？,0,2.6675,53181.0,7,1,1.685370741482966,8.97995991983968,1,0,0,1,1,0,1,0,0,0,1
224300037,1676476379,1007665535,“自卑的人啊，往往只剩下温柔了”,1676376000,1676369832,215,MAD·AMV,11,1529,281,1738,0,4810,315,186,32059,1,0,2355.0,318.0,0.0,2740.0,6874.0,464.0,297.0,50311.0,6,784468,327,-0.0030581039755351682,-0.0030581039755351682,1,。,0,1.1617939814814815,136017.72727272726,0,4,1.5307692307692307,12.584615384615384,1,0,1,0,0,1,1,0,1,0,0
224305185,1676476436,1006170232,成功人士都变态？解码比尔盖茨观后感！,1676283353,1676283353,1228,人文历史,11,10897,3572,3674,0,26149,1056,363,232709,1,0,11892.0,3792.0,0.0,4087.0,29205.0,1096.0,395.0,254892.0,6,3462828,852,-0.0011737089201877935,-0.0011737089201877935,1,？,0,2.2347569444444444,72552.63636363637,0,0,0.3406813627254509,9.933867735470942,1,0,1,0,0,1,1,0,0,0,1
224308049,1676475537,1007873084,生活就像一道难解的数学公式，有时你可能要用一生寻求答案,1676380348,1676380348,1542,影视杂谈,8,2462,545,904,0,6240,284,323,56777,1,0,3792.0,729.0,0.0,1507.0,10896.0,388.0,517.0,84856.0,6,642713,214,-0.004672897196261682,-0.004672897196261682,1,。,0,1.101724537037037,137301.75,2,95,1.0,10.885135135135135,1,0,1,0,0,1,1,0,1,0,0
224308663,1676480629,1004854102,警察告诉你电视剧与现实的差距！,1676206500,1676199436,219,野生技能协会,8,4474,863,4913,56,92886,645,960,920283,1,1,4844.0,907.0,0.0,5307.0,98810.0,685.0,1071.0,997278.0,6,287353,73,-0.0136986301369863,-0.0136986301369863,0,！,0,3.172789351851852,15160.875,0,0,0.6386138613861386,18.47772277227723,1,0,0,1,1,0,1,0,0,1,0
224310978,1676479314,1005076352,峰哥品尝香港两送饭，物美价廉！老板用普通话说：我是中国人！,1676211405,1676211405,966,出行,9,9750,15141,3106,0,30967,2307,4075,774233,1,0,10086.0,15810.0,0.0,3212.0,32278.0,2281.0,4286.0,833143.0,6,1410053,479,-0.0020876826722338203,-0.0020876826722338203,0,！,0,3.100798611111111,2137.8888888888887,20,3,3.755511022044088,42.36072144288577,1,0,1,0,1,0,1,0,0,1,0
224314479,1676485916,1005262758,『Apex速报』S16角色更新实机展示来啦！狗子/希尔/机器人/恶灵/幻象/命脉,1676240213,1676240213,153,网络游戏,5,773,520,762,0,14604,1158,7721,314304,1,0,781.0,521.0,0.0,769.0,14883.0,1160.0,7746.0,318799.0,6,2166,52,-0.019230769230769232,-0.019230769230769232,1,！,0,2.8437847222222223,12031.8,5,1,2.5545977011494254,11.721264367816092,1,0,1,0,0,1,1,0,0,1,0
224316867,1676482860,1005419962,【星际争霸2】IEM卡托维兹2023世界总决赛TIME/Oliveira捧杯夺冠,1676235246,1676235246,168,电子竞技,10,55347,1831,16623,20,76915,6065,32991,1634732,1,1,56132.0,1863.0,0.0,16956.0,78977.0,6150.0,33291.0,1716131.0,6,540018,4969,-0.0002012477359629704,-0.0002012477359629704,1,。,0,2.865902777777778,27868.4,1,0,3.194,193.324,1,0,0,1,0,1,1,0,1,0,0
224331719,1676476314,1004736741,【原神整活】没想到你是这样的夜兰！,1676203200,1676195587,128,短片·手书·配音,10,10440,608,17938,0,52629,482,6234,397468,1,0,10950.0,620.0,0.0,18791.0,54282.0,490.0,6467.0,412848.0,6,317523,57,-0.017543859649122806,-0.017543859649122806,1,！,0,3.1610416666666667,143421.7,0,1,0.5412844036697247,24.69113149847095,1,0,1,0,0,1,1,0,0,1,0
224336091,1676481625,1007522172,你有多久没带爸妈出去旅行啦？,1676363016,1676363016,96,出行,10,4558,104,1788,0,30390,230,477,187132,1,0,5584.0,132.0,0.0,2378.0,38386.0,273.0,603.0,243603.0,6,251739,63,-0.015873015873015872,-0.015873015873015872,0,？,0,1.372789351851852,104452.7,0,3,0.2736842105263158,25.68421052631579,1,0,1,0,1,0,1,0,0,0,1
224342930,1676478650,1007214749,如果缺个人过节，就来和兰兰合唱吧？(❤️ ω ❤️),1676348977,1676348977,92,翻唱,7,4229,122,2590,0,15759,781,667,98941,1,0,4601.0,127.0,0.0,2863.0,17199.0,823.0,711.0,124264.0,6,1321359,297,-0.003367003367003367,-0.003367003367003367,1,？,0,1.5008449074074075,84332.85714285714,0,0,0.43,8.458,1,0,1,0,0,1,1,0,0,0,1
224351647,1676475792,1005513892,制裁神父的奥尔加,1676365200,1676254849,376,综合,9,6184,510,3054,0,10885,572,1843,94719,1,0,6834.0,546.0,0.0,3487.0,12206.0,608.0,2046.0,111479.0,6,66429,30,-0.03333333333333333,-0.03333333333333333,1,。,0,1.28,22359.11111111111,0,2,0.5918918918918918,18.556756756756755,1,0,1,0,0,1,1,0,1,0,0
224362874,1676480074,1007763596,狗头吧的期末小测试！！！,1676376675,1676376675,574,电子竞技,7,18365,1414,4347,0,53105,779,1581,678890,1,0,21542.0,1624.0,0.0,5607.0,71237.0,862.0,2066.0,929036.0,6,333233,17,-0.058823529411764705,-0.058823529411764705,1,！,0,1.1967476851851853,271551.28571428574,0,1,0.534,35.542,1,0,1,0,0,1,1,0,0,1,0
224368851,1676484565,1005795566,历 史 上 唯一 一 个 从 南 打 到 北 的 男 人！,1676264834,1676264834,142,影视剪辑,10,3268,414,3715,0,25224,1520,345,425055,1,0,3414.0,434.0,0.0,3910.0,26217.0,1606.0,363.0,451035.0,6,748811,107,-0.009345794392523364,-0.009345794392523364,1,！,0,2.5431828703703703,325489.7,1,0,3.1933471933471935,37.933471933471935,1,0,1,0,0,1,1,0,0,1,0
224369982,1676486651,1006977730,全是铝合金啊！我为这样的车企鞠躬！让我们为这样的车企点赞！,1676336610,1676336611,124,汽车生活,3,665,376,778,0,16895,563,185,332562,1,0,1103.0,642.0,0.0,1226.0,25699.0,1002.0,345.0,514634.0,6,17792,326,-0.003067484662576687,-0.003067484662576687,0,！,0,1.736585648148148,183991.0,0,0,1.5390946502057614,22.037037037037038,1,0,1,0,1,0,1,0,0,1,0
224380582,1676475625,1008369364,我的世界：会老的世界5，80岁老了失明，也要勇闯猪灵堡！,1676422800,1676410346,799,单机游戏,10,2459,851,1382,0,11474,183,96,108185,1,0,2942.0,917.0,0.0,2032.0,13574.0,207.0,111.0,160798.0,6,773817,6311,-0.00015845349389954048,-0.00015845349389954048,1,！,0,0.6114004629629629,64275.9,1,0,0.4765625,11.0078125,1,0,1,0,0,1,1,0,0,1,0
224397208,1676483353,1008212964,我看懂了 你呢？,1676392663,1676392664,110,综合,4,1582,175,380,0,6709,347,637,54686,1,0,1779.0,185.0,0.0,453.0,7659.0,379.0,720.0,66906.0,6,511549,73,-0.0136986301369863,-0.0136986301369863,1,？,0,1.0496527777777778,695828.25,1,0,0.48132780082987553,9.033195020746888,1,0,1,0,0,1,1,0,0,0,1
224404628,1676480963,1008579491,我研究过法律，不能逮捕我！,1676431698,1676431698,399,搞笑,11,4519,1373,1003,0,33834,708,368,346343,1,0,5425.0,1587.0,0.0,1129.0,40372.0,775.0,464.0,446769.0,6,2089350,250,-0.004,-0.004,1,！,0,0.5701967592592593,419698.63636363635,1,0,0.6651785714285714,22.790178571428573,1,0,1,0,0,1,1,0,0,1,0
224412227,1676484220,1009590395,[SSSS CAM] BSS (SEVENTEEN) - 'Fighting (Feat. Lee Young Ji)’ (DK Ver.),1676466060,1676433060,224,明星综合,9,1089,352,923,0,5098,196,207,19565,1,0,1394.0,430.0,0.0,1208.0,6656.0,235.0,299.0,27502.0,6,783876,577,-0.0017331022530329288,-0.0017331022530329288,1,。,0,0.2101851851851852,18164.333333333332,0,0,0.26582278481012656,9.240506329113924,1,0,1,0,0,1,1,0,1,0,0
224431168,1676485257,1009573350,【原神挨打合集】,1676474286,1676474286,940,手机游戏,7,5577,2484,1162,0,17522,2295,111,89198,1,0,8826.0,3489.0,0.0,1906.0,29855.0,3044.0,213.0,244989.0,6,187665,69,-0.014492753623188406,-0.014492753623188406,1,。,0,0.12697916666666667,186833.14285714287,2,0,1.542,23.45,1,0,1,0,0,1,1,0,1,0,0
224455539,1676475675,1008496112,新练一手冻雪三代，渡劫影三局，甚至穿三！,1676423737,1676423737,446,手机游戏,4,2800,224,467,0,8293,318,113,69511,1,0,3408.0,259.0,0.0,629.0,11965.0,367.0,138.0,102576.0,6,752237,608,-0.001644736842105263,-0.001644736842105263,1,！,0,0.6011342592592592,81386.5,0,272,0.11805555555555555,5.388888888888889,1,0,1,0,0,1,1,0,0,1,0
224481385,1676482132,1008542886,【Offer4 Reaction】什么创意会想让建筑师们「原地结婚」？,1676455200,1676427637,1506,综艺,12,3417,846,706,0,7793,340,64,84284,1,0,4585.0,1051.0,0.0,887.0,10099.0,418.0,90.0,120476.0,6,952238,258,-0.003875968992248062,-0.003875968992248062,0,？,0,0.31171296296296297,80836.0,2,1,0.9148936170212766,16.22340425531915,1,0,1,0,1,0,1,0,0,0,1
