爬取时间,video_aid,video_cid,up_id,标题,up_name,上传时间,审核时间,播放时长,简介,标签分区,标签分区id,标签个数,使用标签,使用标签id,硬币数,弹幕数,点踩数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,跳转链接,跳转app,链接文本
1677111222,267368658,1020597130,595286379,商场电路竣工验收，分闸压线只能一闸一回路，原来是这么回事,勇哥说水电,1677073768,1677073768,120,电工知识，水工知识分享,职业职场,209,7,今天也要好好工作;科学;科普;电路;电工;商场;验收,34948831;1364;5417;148029;723036;134384;2477936,1,0,0,2,0,33,1,0,756,1,0,无,无,无
1677111242,479849120,1020594974,650750845,写材料常用套路词汇编，word文件,职场学习小超人,1677073040,1677073040,64,"文件编码：23612
需要的朋友访问网址：2gw.vip，搜索编码即可获取
各类最新公文写作素材，范文，欢迎访问
写材料常用套路词汇编，word文件",职业职场,209,2,公文写作素材;写材料素材,16499104;26039595,2,0,0,14,0,11,1,5,719,1,0,公文写作素材,,公文写作素材
1677111254,949837666,1019707185,389838895,为什么很多电商博主喜欢讲技术？,照顾酱,1677072600,1677036485,197,"关注照顾，少走弯路。
我是照顾酱，一个90后电商从业者，只给你最接地气的运营建议。

#照顾酱#
#淘宝开店#
#淘宝运营#
#淘宝新手开店#
#如何开网店#
#淘宝如何引流#
#电商运营#
#电商创业#
#防骗指南",职业职场,209,10,如何在淘宝开店;淘宝开店;淘宝运营;淘宝店铺;如何开网店;淘宝新手开店;淘宝开店流程;电商创业;怎么在淘宝开店;开网店,17308714;984407;1511191;1884796;2507822;3525369;3702636;4443566;5777698;5780084,17,0,0,19,0,40,8,2,1053,1,0,无,无,无
1677111273,949750215,1019650028,691475389,一把手刚上任后是如何布局的,易缘老师,1677072300,1677033448,131,一把手刚上任后是如何布局的,职业职场,209,3,职场;人性;人际交往,47481;15402;703146,1,0,0,20,0,42,0,2,745,1,0,无,无,无
1677111289,907261237,1019998313,1226380111,女人任何时候都不要放弃工作！,许林芳管理思维,1677071700,1677048566,182,,职业职场,209,10,课程;职场;女人;学习;淘汰;团队;放弃;工作;时候;开除,154551;47481;7834;13160;8421;92836;652896;21316;9323;913987,0,1,0,7,0,11,0,4,604,1,0,无,无,无
1677111302,224778098,1020538160,431886272,Excel技巧：Xlookup再厉害，也没Vlookup组合Match公式强！,Excel自学成才,1677070964,1677070964,254,,职业职场,209,3,EXCEL;搞笑研究所2023;这个班一定要上吗,20736;35027528;35850148,79,3,0,237,0,342,13,18,4854,1,0,无,无,无
1677111348,779769160,1020490061,477343561,储能丨光伏发电丨新能源丨大型储能电站讲解丨光伏发电设计丨王老师,电气设计李老师,1677069403,1677069404,1283,"详细了解课光伏发电程请复制链接地址：https://mp.weixin.qq.com/s/hvxYWBa92MT_y1g1S85FLA
本视频由七彩教育 王老师讲解 光伏发电设计班-此视频是剪辑过的 想学习完整视频联系关注站主~制作不易（希望各位三键套 关注，点赞，收藏） 欢迎咨询联系QQ:2928806725 WX：17896530841",职业职场,209,11,光伏设计;光伏储能;光伏离网;大型储能案例;光伏;光伏发电;新能源;发电;电气设计;职场新人进化论;校园星发现·up！开学啦,15354473;20248706;29999578;35855309;493706;1252481;93187;180965;4224600;31947836;34876775,1,0,0,8,0,3,0,0,61,1,0,无,无,无
1677111405,652329896,1020469159,650750845,公文写作常用28类四字词汇编，537例，word文件,职场学习小超人,1677067915,1677067915,184,"文件编码：10051
需要的朋友访问网址：2gw.vip，搜索编码即可获取
各类最新公文写作素材，范文，欢迎访问
公文写作常用28类四字词汇编，537例，word文件",职业职场,209,3,词汇;公文写作素材;公文写作,937966;16499104;2669928,14,0,0,101,0,46,2,7,571,1,0,公文写作素材,,公文写作素材
1677111425,224779284,1020458048,483104896,假如我给客户写封信，哈哈哈哈哈,Morry唠唠叨叨,1677067348,1677067348,107,-,职业职场,209,2,外贸人;外贸业务员,7499468;10288344,17,2,0,7,0,124,16,5,1916,1,0,无,无,无
1677111432,907367362,1020276244,543931674,什么是让面试官乖乖束手就擒的谈薪话术？打工人一定要收藏！,马力在知群,1677067200,1677059901,158,不会谈薪的打工人，不是合格的打工人,职业职场,209,10,职场;谈薪;求职;月薪;找工作;面试;面试技巧;互联网;职场干货;互联网人互助指南,47481;13083043;121660;147123;49526;32613;487920;23901;6658122;35822772,6,0,0,56,0,73,11,5,2401,1,0,无,无,无
1677111449,482299709,1020253699,1612114484,找工作谈薪，这3个环节很重要，90%人都搞错了！,职场教练Echo,1677067200,1677059010,147,,职业职场,209,8,今天也要好好工作;职场;求职;职业规划;面试;找工作;跳槽;金三银四,34948831;47481;121660;697364;32613;49526;170353;6419010,4,0,0,48,0,35,1,0,890,1,0,无,无,无
1677111457,394841657,1020426901,395619513,【旁门左道PPT】什么档次的PPT？值得年薪百万？,旁门左道PPT,1677066650,1677066650,239,视频提到的PPT快捷工具、10000个图标素材，还有61张形状修饰模板，快去公众号【旁门左道PPT】回复：PPT加油包，领取哈,职业职场,209,11,今天也要好好工作;职场;知识;年薪;九转大肠;PPT;PPT模板;PPT教程;ppt教学;职业职场;我最值得分享的职场经验,34948831;47481;10009;744179;910493;27233;1607676;2493557;7574155;7692257;35048902,102,7,0,339,0,657,47,55,13602,1,0,https://b23.tv/mall-Qlyht-rzHjloMp7o,淘宝,旁门左道3天PPT专题实战训练营
1677111475,524870895,1019665058,1302166373,面试谎言？被开除的原因是什么【职场导师Don】,职场导师Don,1677066240,1677034221,606,我是专注为大家解决职场问题的职场导师Don Georgevich，觉得有用就一键三连吧~,职业职场,209,11,职场;寻找100位内行人对谈;工作;面试;经验分享;求职;原因;面试技巧;找工作;开除;趁早知道的职场真相,47481;33186535;21316;32613;634574;121660;82389;487920;49526;913987;34461754,2,0,0,6,0,17,0,0,156,1,0,无,无,无
1677111483,864847964,1020425701,387418363,单if条件判断-Excel函数入门到实战制作自动化报表模板)之(七),Excel办公自动化,1677065994,1677065994,208,单if条件判断-Excel函数入门到实战制作自动化报表模板)之(七),职业职场,209,11,机械;今天也要好好工作;视频教程;Excel数据可视化;EXCEL;自动化;EXCEL教程;办公自动化;EXCEL函数;EXCEL技巧;office办公技巧,5152;34948831;28310;21288606;20736;165769;1518432;3526074;5543482;7383988;10311964,2,0,0,9,0,10,2,0,148,1,0,无,无,无
1677111500,394701140,1018384287,1849973655,职场中的五种犯傻行为，你踩坑了吗？快来对照！,刘老师职场与考编讲座,1677065400,1676962587,74,,职业职场,209,3,职场;情商;人际,47481;571843;3002461,6,0,0,29,0,56,4,5,1043,1,0,无,无,无
1677111504,949753288,1020409228,1068488454,模仿只是第一步哦,求职找土豆,1677065337,1677065337,62,-,职业职场,209,5,今天也要好好工作;大学生;校招;应届生;春招,34948831;34356;1520859;1704503;3473023,17,3,0,34,0,560,27,1,5861,1,0,无,无,无
1677111507,394866044,1019639548,691475389,体制内摸鱼十年后最大的感悟是什么,易缘老师,1677065100,1677035090,234,体制内摸鱼十年后最大的感悟是什么,职业职场,209,3,人性;职场;人际交往,15402;47481;703146,7,0,0,26,0,32,1,1,1037,1,0,无,无,无
1677111514,352339319,1019987415,1226380111,我第一次开除小白兔的经历，希望能带给你启发,许林芳管理思维,1677064800,1677048405,258,,职业职场,209,10,原创;团队;淘汰;创业;职场;希望;经历;开除;小白兔;启发,536;92836;8421;128384;47481;9265;426889;913987;148121;2565935,4,6,0,32,0,90,3,12,1734,1,0,无,无,无
1677111533,822309831,1020184463,574298442,异地初中女教师，月薪4600，工作辛苦经常被PUA,一不小心哥,1677063601,1677057712,224,异地初中女教师，月薪4600，工作辛苦经常被PUA,职业职场,209,11,PUA;唠嗑区;寻找100位内行人对谈;唠嗑;月薪;初中;异地;教师;事业编;教师编;趁早知道的职场真相,521926;21339158;33186535;359585;147123;102798;271936;5213;1699103;4354658;34461754,24,5,0,16,0,142,49,8,4599,1,0,无,无,无
1677111539,992290912,1019000030,516973958,我将在 24 小时内删除此视频...谁能看到它。或者……是你？,KLB读书会,1677063600,1676993434,425,在接下来的几个小时内，我将删除该视频。所以如果你正在看这个视频，你就是少数幸运的人之一，谁能看到它。或者……是你？,职业职场,209,11,趣闻;今天也要好好工作;冷知识;个人成长视频;自我提升视频;如何提高认知;如何防范被骗;骗局;认知;科普一下;商业骗局,6874;34948831;47996;31821212;32437077;35819142;35819157;100339;569849;2526332;11547170,8,1,0,30,0,67,0,13,1091,1,0,无,无,无
1677111596,524854577,1020316402,470909303,想做好电商必备的三个条件 零基础学电商-28课,老吴运营日记,1677061766,1677061766,164,,职业职场,209,7,淘宝;淘宝开店;电商;运营;淘宝运营;淘宝卖家;电商运营,83001;984407;527951;311524;1511191;2276345;3814352,4,0,0,1,0,16,1,1,630,1,0,无,无,无
1677111602,224857623,1020300743,471285754,人最大的导师就是自己，多自省多认识自己，总会找到答案,职场小咸鱼,1677061529,1677061529,223,-,职业职场,209,4,导师;寻找100位内行人对谈;自省;趁早知道的职场真相,690;33186535;636794;34461754,51,1,0,99,0,134,9,14,1927,1,0,无,无,无
1677111606,224842656,1020314479,2058280933,一道题教你学：基层应急处突思维（示范答题）,鑫鑫与公考,1677061353,1677061354,209,-,职业职场,209,8,公务员;公务员考试;结构化面试;省考面试;国考面试;事业单位面试;遴选面试;选调生面试,213551;183540;1719077;3574916;3574915;3952384;7785733;8795904,0,0,0,13,0,14,2,0,798,1,0,无,无,无
1677111614,394771413,1020087744,1736468798,你是交警，高速发生交通事故，有车辆占用应急车道导致救护车过不去，领导让你前去处理，你怎么办？,金标尺面试观,1677061200,1677051987,124,,职业职场,209,2,公务员面试;结构化面试,1513366;1719077,0,0,0,1,0,8,0,1,80,1,0,无,无,无
1677111649,479776756,1020304887,295347600,武汉985院校，4个传统工科硕士，真实的就业和薪资情况,那些无名之辈,1677060977,1677060977,166,武汉985本硕，传统工科生，2023年毕业,职业职场,209,10,毕业;考研;大学;职场;计算机;求职;现状;职业规划;工科生;人物故事,9724;372799;6500;47481;6578;121660;44454;697364;189556;3527690,47,46,0,90,0,978,262,52,24821,1,0,无,无,无
1677111658,907261469,1020294072,480423911,表格内文字如何快速标注拼音...不！是单独列出拼音~,秋叶Excel,1677060608,1677060608,78,,职业职场,209,7,职场;寻找100位内行人对谈;excel;excel技巧;办公技巧;office办公技巧;内行人在身边,47481;33186535;2561468;3321133;4419494;10311964;33238755,0,1,0,24,0,96,5,0,951,1,0,https://b23.tv/zzbmCw0,,精选福利
1677111676,567348113,1019711395,486242758,老造价五分钟就能找到工作，做造价一定要万事留一线！任何分包单位不是看起来这么简单的。,造价猫大洋,1677060032,1677037167,601,"299视频教程，永久免费答疑，入门到精通
微信：blackandboy
百度：造价猫
官网：zaojiamao.cn",职业职场,209,1,工程造价,4175110,12,4,0,18,0,60,18,2,1336,1,0,无,无,无
1677111681,992312731,1019819640,474596369,逼自己一个月找到工作！应届生春招技巧大全,金山文档,1677060000,1677049383,99,"模板领取方式：关注金山文档，私信“春招模板”
希望文档的内容可以对大家的求职有所帮助！
有任何使用上的问题也欢迎大家随时私信哦~",职业职场,209,10,今天也要好好工作;知识;计划;求职;面试;校招;应届生;春招;职业职场;金山文档,34948831;10009;5274;121660;32613;1520859;1704503;3473023;7692257;11409314,10,10,0,8,0,20,3,9,887,1,0,无,无,无
1677111690,737335673,1019590287,1663915898,12颗米其林的中式餐饮创始人有这三个特质,闪闪发光的老高,1677060000,1677030816,175,,职业职场,209,7,今天也要好好工作;职场;米其林;职业;工作;商业;餐饮,34948831;47481;21852;29538;21316;251524;1501903,2,1,0,2,0,14,6,0,357,1,0,无,无,无
1677111710,394357493,1006347117,1616372839,2.22遴选申论｜2023年要上岸的朋友！速冲！（一整年考点）,公务员遴选申论,1677060000,1676291004,615,-,职业职场,209,6,遴选备考;申论;省考;遴选;遴选笔试;遴选上岸,14211733;1140770;1620185;2502319;9166179;15686348,15,2,0,43,0,43,5,7,1099,1,0,无,无,无
1677111757,992209069,1017455048,651321342,"401-交越失真,推挽放大电路中对管交替工作中产生的失真",电子电工黄超想,1677059100,1676900913,132,音频功放后级输出经常使用推挽放大电路，其中对管交替工作中产生的失真称为交越失真。增大对管静态电流或加大负反馈深度都能减少交越失真。,职业职场,209,6,三极管电路;交越失真;推挽放大电路;电路基础;电子技术;电子爱好者,13623827;14320463;35778934;105546;395571;3862432,0,0,0,2,0,17,1,0,355,1,0,无,无,无
1677111789,779849542,1019973254,1226380111,团队要淘汰这三种人,许林芳管理思维,1677058200,1677047829,99,,职业职场,209,5,创业;团队;职场;淘汰;原创,128384;92836;47481;8421;536,1,0,0,10,0,18,5,2,1013,1,0,无,无,无
1677111797,482371011,1020235509,385126080,51% 卡尼曼双系统,圆中的猫头鹰,1677058093,1677058093,260,,职业职场,209,9,今天也要好好工作;系统;学习;大脑;认知;自我提升;思维模型;卡尼曼;慢思考,34948831;34001;13160;71302;569849;1415768;5005584;7522390;7587848,59,2,0,136,0,156,15,16,2015,1,0,无,无,无
1677111807,309790360,1019390118,512063561,智性恋鼻祖曹琴默的职场沉浮启示录｜高玩的聪明与清醒【钱婧】,钱婧老师,1677057900,1677014826,619,甄嬛系列又来了！曹琴默真的是被甄嬛一两句话杀死的吗？智性恋鼻祖是怎么混自己的职场的？今天呢，我们聊一下与虎谋皮的高端玩家曹琴默，,职业职场,209,10,今天也要好好工作;职场;甄嬛传;华妃;人际关系;甄嬛;曹贵人;曹琴默;打工人;智性恋,34948831;47481;187789;230124;194163;164971;4197424;5391370;9874696;12907411,83,49,0,76,0,280,18,18,3158,1,0,无,无,无
1677111827,479757484,1020202753,1150472191,连合理的拒绝都不会，还怎么在职场混？,产品老曾,1677057372,1677057372,298,,职业职场,209,10,今天也要好好工作;职场;产品老曾;求职;产品经理;公司;工作;管理;升职加薪;老板思维,34948831;47481;33322257;121660;690061;172297;21316;681050;1332043;6320856,370,44,0,689,0,1065,99,228,34922,1,0,无,无,无
1677111869,694852237,1019584567,510459330,欧洲“扫地僧”助力华为新员工,华为招聘,1677056400,1677037685,106,,职业职场,209,5,科技;寻找100位内行人对谈;创新;全球;分享我的职业故事,13807;33186535;126561;10015;32126148,2,0,0,5,0,56,3,1,1335,1,0,无,无,无
1677111892,267322061,1020140848,286925403,【征兵】征兵到哪一步不能后悔？未授衔可以全身而退吗？,特种吃货Seven,1677056011,1677056011,179,服从命令，听从指挥,职业职场,209,10,科普;星海;知识;职场;社死;军人;逃兵;征兵;军士;大学生入伍,5417;178862;10009;47481;16837767;50720;138137;29359;3397130;9818364,77,115,0,71,0,1149,186,20,15652,1,0,无,无,无
1677111947,907361473,1019962981,613161302,正确率18%的23浙江省考真题,公考讲师刘文波,1677054300,1677047088,278,亲，如果觉得不错的话，强烈推荐加入我们完整课程→【2023公考笔试高分培优课】，点击评论区置顶链接即可购买！同样是报班，为什么不选择一个老师更好的呢？我等你，加油！上岸,职业职场,209,10,言语;公务员;考前;行测;浙江省;公务员考试;联考;省考;浙江省考;考前冲刺,642609;213551;907682;590549;129608;183540;1466978;1620185;1630334;2920630,2,3,0,11,0,22,2,1,1257,1,0,无,无,无
1677111958,822305756,1019633988,691475389,女人不管在哪里上班也要记住这8个道理,易缘老师,1677054000,1677034132,77,女人不管在哪里上班也要记住这8个道理,职业职场,209,3,职场;人性;人际交往,47481;15402;703146,0,0,0,14,0,20,1,2,489,1,0,免费领取,,免费领取
1677112000,567305899,1019721463,1736468798,同事之间处理好关系很重要，请问你怎么处理与同事的关系？,金标尺面试观,1677052800,1677037661,146,,职业职场,209,2,面试;结构化面试,32613;1719077,0,0,0,0,0,6,2,1,81,1,0,无,无,无
1677112011,224760645,1020105583,2146236937,Exce表格中，如何使用sumif函数进行跨表求和，并做静态化设置？,Office办公三剑客,1677052753,1677052753,103,Exce表格中，如何使用sumif函数进行跨表求和，并做静态化设置？,职业职场,209,10,今天也要好好工作;职场;表格;WPS;EXCEL教程;Office;Word文档;EXCEL函数;office办公软件;EXCEL技巧,34948831;47481;640857;104223;1518432;2549589;5022122;5543482;6262166;7383988,2,0,0,23,0,30,0,0,835,1,0,无,无,无
1677112049,224767240,1019949015,22001608,坚持读书2000天发现，人生变强的秘诀是快速放弃？,煮一壶酒的卢克,1677051019,1677051019,852,"读书给人生带来的改变
•决策能力：帮你看清别人做出过的选项和结果，让自己面对类似决策时更果断，决策质量也更高；
•知识获取：积累多学科领域知识，在人生中意想不到的地方会帮到自己，未来很难预测，但有更多认知的人有更大概率把握住未来的机会；
•学习意愿：启发好奇心，并让我们不断追寻背后的答案，帮助我们更了解世界，了解社会，也了解自己；
•缤纷世界：足不出户，漫游全球甚至全宇宙，让生活更多彩，更有趣；
•因缘际会：拓宽自己的社交范围，更多机会接触到平时接触不到的人。
如何读书
•选书：
•找书：各类榜单上有很多，建议先读经典，可以看有热度的书里第一版出版时间早的；
•排序：按兴趣来确定先读什么，后读什么，不用介意中途兴趣转变改变顺序，持续读即可；
•卡书：别在意别人怎么看怎么说，有的书和你缘分深，有的则浅，降低门槛读自己喜欢的就好；
•阅读：
•检视阅读：用作者生平来了解他的背景和写作意图，用目录来理解书的阐述逻辑，扫读+重度章节阅读；
•专题阅读：多本同专题内的书籍一起阅读，之后做比较，不明白的部分记录下来，待持续阅读后研究；
•汲取知识：
•主动获取：信息目标感很重要，主动筛选并获取的信息价值更高，主动思考，跨时空和作者对话；
•笔记内化：商业类按照事例逻辑来记，传记类按照时间线来记，笔记之间的知识需要建立连接才会成为自己的知识。",职业职场,209,11,人文;今天也要好好工作;学习;读书;职业;成长;商业;读书分享;书单;读书笔记;我最值得分享的职场经验,40737;34948831;13160;40328;29538;11147;251524;1593554;1644106;2639861;35048902,215,51,0,268,0,285,29,28,4304,1,0,无,无,无
1677112054,737293030,1018450906,1029508158,公务员职务职级并行后，任职年限已经足够了，为什么迟迟没得晋升？,老A讲晋升,1677050940,1676964928,115,,职业职场,209,7,职场;寻找100位内行人对谈;公务员;体制内;晋升;年限;趁早知道的职场真相,47481;33186535;213551;1307845;3554913;5057852;34461754,0,0,0,7,0,21,0,0,979,1,0,无,无,无
1677112206,907312093,1019871934,174873764,中央一号文件极致高效讲解（公务员事业单位考试通用，有讲义附赠）,公考阳焱,1677043804,1677043804,1546,见置顶评论,职业职场,209,10,政治;一号文件;事业单位;时政;三农;公考;省考;国考;常识判断;事业单位考试,8636;3161265;802135;347186;949800;1129266;1620185;1767295;2653505;2668513,259,23,0,1300,0,561,22,145,12871,1,0,时政速记,,时政速记
1677112225,737311782,1019624806,691475389,开除事业编制有多难,易缘老师,1677042780,1677033837,71,开除事业编制有多难,职业职场,209,4,职场;人性;人际交往;事业编制,47481;15402;703146;3971378,4,0,0,37,0,44,7,7,1178,1,0,免费领取,,免费领取
1677112308,652264948,1019776562,613161302,10省份放宽报考公务员35岁年龄限制,公考讲师刘文波,1677038790,1677038790,228,亲，如果觉得不错的话，强烈推荐加入我们完整课程→【2023公考笔试高分培优课】，点击评论区置顶链接即可购买！同样是报班，为什么不选择一个老师更好的呢？我等你，加油！上岸,职业职场,209,9,考试;行测;言语;公务员考试;公务员;联考;公务员面试;省考;考公务员,8859;590549;642609;183540;213551;1466978;1513366;1620185;4496538,4,2,0,4,0,72,10,3,2061,1,0,无,无,无
1677112359,524798596,1019563457,1567582106,江浙真题7--如何处理“领导满意”和“群众满意”的关系,北楚公务员面试,1677037800,1677033527,187,在基层工作中常常会出现这样的问题：一些政策明明是为了人民群众谋福祉，但真正实施起来人民群众往往会觉得麻烦。如果盯紧了，人民群众不满意，但如果盯松了，领导又会不满意。如何处理好“领导满意”和“群众满意”的关系，就成为了基层工作的重点。对此，请谈谈你的看法。,职业职场,209,4,公务员考试;公务员面试;浙江省考;江苏省考,183540;1513366;1630334;3284362,18,3,0,69,0,34,4,4,1219,1,0,无,无,无
1677112371,524777807,1019738444,14797570,如何摆脱垃圾人际关系？分享一个“四字咒语”，把说你坏话的人的嘴，堵住！,葆二爺的读心术,1677037096,1677037096,93,,职业职场,209,5,今天也要好好工作;职场;情商;必剪创作;我最值得分享的职场经验,34948831;47481;571843;15775524;35048902,39,2,0,172,0,410,27,20,4410,1,0,无,无,无
1677112391,609826433,1019718449,480423911,这个上司，多少让人头大了，序号输入大法，赶紧收藏！！,秋叶Excel,1677036455,1677036455,102,,职业职场,209,6,今天也要好好工作;0基础学电脑;干货;excel;excel技巧;职场办公,34948831;23643274;207281;2561468;3321133;6768942,2,1,0,40,0,106,2,2,1920,1,0,无,无,无
1677112415,394850106,1019700948,350629248,Blender中创建程序化得绳索桥,Blender最新教学站,1677035882,1677035882,1471,"www.blendertrans.com
Blender中创建程序化得绳索桥",职业职场,209,2,3D;Blender,1615;2596660,2,0,0,21,0,9,0,0,222,2,0,无,无,无
1677112574,737282572,1019616551,686439082,你还在找背景音乐吗？这64首自带流量的BGM，赶快拿去吧，已经帮你分类好了,厦九九,1677032920,1677032921,80,,职业职场,209,3,背景音乐;BGM;自媒体,107553;362;444411,0,0,0,7,0,4,0,0,57,1,0,无,无,无
1677112581,437366543,1019603457,76028355,从一位普通设计师到最牛装配式设计公司，他们用技术预埋实现了三次逆袭,BIMBOX,1677032803,1677032803,1242,,职业职场,209,11,工程;技术;设计;建筑;寻找100位内行人对谈;经验分享;设计师;BIM;Revit;BIMBOX;分享我的职业故事,222;926;74378;9269;33186535;634574;62240;610600;2702518;4428762;32126148,6,1,0,10,0,20,4,2,869,1,0,无,无,无
1677112674,309768961,1019561777,520810093,看穿那些假装欣赏你的人,老付聊职场,1677029217,1677029217,190,-,职业职场,209,6,职场;人生;原创;寻找100位内行人对谈;欣赏;趁早知道的职场真相,47481;3459;536;33186535;50500;34461754,120,57,0,692,0,1119,129,162,53125,1,0,无,无,无
1677112684,524861153,1019557277,32533840,初级会计职称题库每日刷一题|对啊网名师 签字并盖章的人员,对啊网,1677029042,1677029042,110,更多会计教程，请看置顶评论。,职业职场,209,10,签章;初级会计网课;初级会计题库;2023初级会计;2023年初级会计实务;初级会计实务;会计从业资格证;初级会计证;初级会计备考;会计学基础,11948820;12134551;13617340;25821305;29803805;904184;1229280;4962298;8901103;9225420,0,0,0,2,0,14,1,1,269,1,0,https://www.bilibili.com/read/cv18261900?spm_id_from=333.999.0.0,,2023初级会计通关资料包+全套课程（实时更新）
1677112687,352304959,1019562188,32533840,【对啊网】Excel小技巧——区分单元格红/黄小三角,对啊网,1677029026,1677029026,70,更多Excel Word PPT 教程，请下载 对啊课堂app,职业职场,209,10,对啊网;EXCEL;电子表格;办公软件;Office;Excel小技巧;excel基础;单元格;EXCEL技巧;excel自学,1750118;20736;517509;517507;2549589;3752472;5521718;6512776;7383988;8000384,1,0,0,5,0,6,0,0,588,1,0,无,无,无
1677112705,907319074,1019540008,508695150,每日即兴英文演讲Researchers have found that spending money on others makes you happier,英文演讲爱好者Scott,1677028039,1677028039,190,"每日即兴英文演讲
Researchers have found that spending money on others makes you happier than spending it on yourself. Do you agree?",职业职场,209,7,学习;演讲;英语;英文;英文即兴演讲;英语口语;英文演讲,13160;2739;8816;8745;25477343;602557;224567,4,0,0,7,0,31,2,1,383,1,0,无,无,无
1677112749,907362612,1019512234,1290054818,ps混和器画笔详解,教ps的假叔叔,1677025809,1677025809,161,-,职业职场,209,6,PS教程;ps;ps混和器画笔;画笔;Photoshop;设计研习会,335752;2518399;35827745;503751;2528677;35071947,9,1,0,23,0,52,0,1,1074,1,0,无,无,无
