video_aid,爬取时间,video_cid,标题,上传时间,审核时间,播放时长,标签分区,标签个数,硬币数,弹幕数,收藏数,历史最高排名,点赞数,评论数,分享数,播放数,是否原创,是否合作,beh_硬币数,beh_弹幕数,beh_点踩数,beh_收藏数,beh_点赞数,beh_评论数,beh_分享数,beh_播放数,up等级,up粉丝数,up投稿数,up平均每个视频播放量,up平均每个视频点赞数,有无简介,标题样式,有无广告,存留时长,平均标签订阅数,up在最热前500条评论的回复数,up在最热前500条评论的点赞数,最热前500条评论中平均每条评论的回复数,最热前500条评论中平均每条评论的点赞数,日均播放,日均点赞,日均硬币,日均评论,日均弹幕,日均分享,日均收藏,y,24h后播放增量,发布时间星期,发布时间
267049388,1677121600,1012321785,什么样的老板值得跟随,1676675400,1676628900,4.465908118654584,职业职场,9,2,0,37,0,42,3,16,1692,1,0,2.0,0.0,0.0,42.0,45.0,3.0,16.0,1829.0,4.0,10.598957034465641,6.796823718274855,3076.863687150838,115.2100558659218,0,。,0,5.164351851851852,9.620498155941412,0.0,0.0,0.0,1.0986122886681098,5.791886933977747,2.095890012094946,0.3273379906861639,0.4579977358035195,0.0,1.4105386437318939,2.0997955150101317,4.919980925828125,137.0,6,2023-02-18 07:10:00
267121502,1677121075,1013491734,退役后户口本写什么？拒服兵役影响几代人？,1676696779,1676696780,5.288267030694535,职业职场,10,1057,527,647,0,12370,839,79,331560,1,0,1098.0,538.0,0.0,664.0,12697.0,856.0,82.0,342113.0,6.0,11.780131833660677,3.970291913552122,241815.7735849057,19371.90566037736,1,？,0,4.910833333333334,12.215740263156396,0.0,0.6931471805599453,1.242792796175518,3.5507741249082523,11.12012041864364,7.831585816324712,5.37638158813541,5.1466031922437026,4.68503221971599,2.8383110780464147,4.888464144821302,9.26416545867109,10553.0,6,2023-02-18 13:06:19
267138368,1677113481,1018358451,我被末尾淘汰逼的掉了三层皮，为何还如此倡行呢？,1676984700,1676962886,5.60947179518496,职业职场,2,2,0,16,0,37,1,5,1275,1,0,3.0,1.0,0.0,19.0,46.0,3.0,8.0,1670.0,4.0,10.598957034465641,6.796823718274855,3076.863687150838,115.2100558659218,0,？,0,1.4905208333333333,11.692025170504236,0.0,0.0,0.0,0.0,6.751575846141719,3.2117923011934173,0.8509253495410873,0.5133662471661985,0.0,1.471217167714433,2.4625334560576086,5.978885764901122,395.0,2,2023-02-21 21:05:00
267206996,1677118239,1015317086,《无领导小组面试通关课》片段2：最高级的论据，帮你摆脱“学生气”,1676809800,1676791556,6.184148890937483,职业职场,10,38,36,23,0,60,14,5,1541,1,0,38.0,37.0,0.0,23.0,64.0,16.0,5.0,1601.0,5.0,10.757349536135969,3.6375861597263857,38089.02631578947,1701.8947368421052,1,。,0,3.5698958333333333,12.15251362843561,0.0,2.3978952727983707,0.26236426446749106,0.8329091229351039,6.067650418292266,2.8218081451942507,2.4548398304200694,1.5936505564872943,2.405532205900345,0.8757191607043899,2.0072424222745138,4.0943445622221,60.0,7,2023-02-19 20:30:00
267223136,1677118074,1015962089,在珠三角当老师的真实收入，月薪1.4万，年终奖4万，公积金3800,1676817073,1676817073,4.852030263919617,职业职场,6,53,15,32,0,245,113,34,9266,1,0,57.0,15.0,0.0,34.0,254.0,115.0,36.0,9830.0,6.0,11.379702596175905,5.429345628954441,55448.90350877193,1314.9298245614036,1,。,0,3.4838078703703705,9.957904712570691,1.9459101490553132,0.0,1.270462545594769,1.7865375252469033,7.88598115478411,4.253132299352243,2.7858280995210656,3.5096263639163476,1.6687691873863995,2.3757831384122263,2.320950564908598,6.335054251498059,564.0,7,2023-02-19 22:31:13
267251665,1677113615,1018831895,考研失败，立马入职！从简历空白到满满一页纸，她的简历长啥样？,1676981011,1676981011,5.049856007249537,职业职场,11,4,1,66,0,34,6,5,581,1,0,28.0,1.0,0.0,227.0,97.0,18.0,10.0,1505.0,5.0,10.949349345263151,5.241747015059643,17890.41798941799,429.010582010582,1,？,0,1.5347685185185185,9.12025651114344,1.3862943611198906,0.0,0.6931471805599453,0.0,5.936371189452622,3.097980957216872,1.2826701764809034,1.5911485433736345,0.5017227512805843,1.4487573572467014,3.7842629870295457,6.828712071641684,924.0,2,2023-02-21 20:03:31
267322061,1677111892,1020140848,【征兵】征兵到哪一步不能后悔？未授衔可以全身而退吗？,1677056011,1677056011,5.187385805840755,职业职场,10,77,115,71,0,1149,186,20,15652,1,0,92.0,124.0,0.0,98.0,1490.0,273.0,21.0,25399.0,6.0,11.780131833660677,3.970291913552122,241815.7735849057,19371.90566037736,1,？,0,0.6467708333333333,12.215694209474137,0.6931471805599453,0.6931471805599453,1.2829160066660557,2.9713297974413893,10.094117229421338,7.482410523939791,4.787933208643711,5.664981150650126,5.186303712487898,3.463322177160292,4.707511330728986,9.18471482433721,9747.0,3,2023-02-22 16:53:31
309558862,1677120779,1013771057,【非常重要】人力资源管理问题，2.18日直播回放,1676708379,1676708379,6.665683717782408,职业职场,8,119,44,113,0,348,70,49,11029,1,0,123.0,44.0,0.0,117.0,353.0,70.0,51.0,11527.0,6.0,13.656879355570146,4.787491742782046,113807.0,1958.1166666666663,0,。,0,4.773148148148148,8.864693678433763,0.0,0.0,0.9852836033611067,1.6306401200847034,7.745277369973352,4.28919640344168,3.2554443633658723,2.7514527622215534,2.3241738422213296,2.4217681611875497,3.205754224488411,6.210600077024653,498.0,6,2023-02-18 16:19:39
309622938,1677112800,1014285096,Creo/proe血管支架，建模技巧，结构设计，creo教程，proe教程，creo在线教学，一加一教育，佳言老师,1677023040,1676728390,4.418840607796598,职业职场,10,2,0,18,0,30,2,0,347,1,0,2.0,0.0,0.0,21.0,32.0,2.0,0.0,419.0,5.0,10.762191543557298,6.194405391104672,3911.451020408164,72.35510204081632,1,。,0,1.038888888888889,5.01529110563245,0.0,0.0,0.0,0.0,5.811173013982483,3.363045615697779,1.0733401855673945,1.0733401855673945,0.0,0.0,2.908331905020022,4.276666119016055,72.0,3,2023-02-22 07:44:00
309672898,1677118324,1015652309,你真的一直误解了中国邮政,1676805613,1676805613,6.159095388491933,职业职场,8,5343,1440,3927,0,35339,1634,809,593727,1,0,5606.0,1478.0,0.0,4133.0,36949.0,1706.0,849.0,621736.0,6.0,14.568850737793278,5.393627546352362,871858.9136363637,61302.19545454546,0,。,0,3.619340277777778,12.30278695272245,0.6931471805599453,0.0,1.2053718252396433,4.281736575829161,12.007883131217111,9.186450683404031,7.297927975622745,6.114707078891288,5.988616904412728,5.41397101823843,6.990260519871361,10.240281166081672,28009.0,7,2023-02-19 19:20:13
309699619,1677119249,1015429248,【公务员面试】消费券发放的前期调研怎么做？,1676795347,1676795347,6.313548046277095,职业职场,7,13,2,54,0,48,11,3,843,1,0,17.0,4.0,0.0,90.0,54.0,16.0,3.0,1185.0,6.0,10.619789578562562,4.007333185232471,24620.945454545454,880.2181818181818,1,？,0,3.7488657407407406,9.858295905928983,1.6094379124341003,0.0,0.7884573603642703,0.5877866649021191,5.415513632908354,2.5497476858143893,1.496877213913974,1.3697128558026215,0.42754924777708414,0.5879211272621223,2.734650383262543,5.834810737062605,342.0,7,2023-02-19 16:29:07
309739750,1677119160,1015520503,在体制内，年轻人若有以下表现，是绝对的不成熟,1676798960,1676798960,5.19295685089021,职业职场,5,122,1,468,0,551,25,68,19346,1,0,131.0,1.0,0.0,498.0,575.0,31.0,70.0,20577.0,6.0,11.489697778850925,6.363028103540465,18051.775862068964,374.2913793103448,0,。,0,3.706018518518519,10.142717028835982,0.0,0.0,0.20479441264601322,2.477302050402781,8.560282833989888,5.00177668440031,3.5239878697174216,2.0471486805060577,0.238884100631632,2.9626165596163534,4.846397824664436,7.115582126184454,1231.0,7,2023-02-19 17:29:20
309768961,1677112674,1019561777,看穿那些假装欣赏你的人,1677029217,1677029217,5.247024072160486,职业职场,6,120,57,692,0,1119,129,162,53125,1,0,184.0,72.0,0.0,1088.0,1615.0,172.0,233.0,79698.0,6.0,12.301000934241559,6.79794041297493,10749.583705357143,263.2455357142857,0,。,0,0.9659375,11.032052309207069,1.0986122886681098,3.8066624897703196,0.7643234590278403,3.8304217067332207,10.91505905288242,7.054846854967627,4.830165144357091,4.901928543547479,4.094511700200282,5.128197353232053,6.575636992400942,10.187650941676283,26573.0,3,2023-02-22 09:26:57
309790360,1677111807,1019390118,智性恋鼻祖曹琴默的职场沉浮启示录｜高玩的聪明与清醒【钱婧】,1677057900,1677014826,6.428105272684596,职业职场,10,83,49,76,0,280,18,18,3158,1,0,115.0,88.0,0.0,107.0,372.0,24.0,24.0,5586.0,6.0,12.249721042010608,4.844187086458591,48497.11811023622,2661.51968503937,1,。,0,0.6239236111111112,9.66989585898122,0.0,0.6931471805599453,0.1823215567939546,0.6931471805599453,8.52942153101317,6.106516939366833,4.898056982947126,3.396174306101124,4.376200384513497,3.396174306101124,4.810636682865715,7.794823152179389,2428.0,3,2023-02-22 17:25:00
309825753,1677113824,1018740902,一道很难的甘肃选调生面试题目，你能答出来几点？,1676977028,1676977028,5.25227342804663,职业职场,4,49,1,76,0,160,19,18,4085,1,0,51.0,1.0,0.0,110.0,184.0,21.0,23.0,5356.0,3.0,10.853947800180379,3.6635616461296463,35466.307692307695,1130.6410256410256,0,？,0,1.583287037037037,10.665845914085105,0.0,0.0,0.11778303565638346,1.270462545594769,7.855573918109235,4.615670726048959,3.464118136838179,2.564976348439804,0.48955954420473885,2.5151734111023023,3.8918489415741004,7.147559271189454,1271.0,2,2023-02-21 18:57:08
351741670,1677120619,1002937033,2.18遴选申论｜上岸捷径：体系化的转化为擅长的！！！,1676714400,1676094098,5.733341276897746,职业职场,6,17,0,40,0,62,6,4,2196,1,0,17.0,0.0,0.0,42.0,62.0,7.0,4.0,2346.0,5.0,11.052555284692732,5.594711379601839,6939.085501858736,210.60594795539035,0,！,0,4.701608796296297,8.659849491817761,1.3862943611198906,0.0,0.6931471805599453,0.5108256237659906,6.146488055399372,2.579229637815042,1.5294816486464429,0.8224893377297082,0.0,0.6156031804495733,2.2521047447104117,5.0106352940962555,150.0,6,2023-02-18 18:00:00
352056572,1677116267,1011736452,如何改变自己在单位的软弱个性,1676891640,1676603838,4.418840607796598,职业职场,6,18,2,136,0,167,2,9,2984,1,0,22.0,2.0,0.0,195.0,207.0,4.0,14.0,4002.0,4.0,10.589207217267276,4.997212273764115,19574.364864864863,643.4459459459459,0,。,0,2.599849537037037,9.960789011700163,0.0,0.0,0.0,0.6931471805599453,7.04556638834114,4.162540239434244,2.0698301987590213,0.5705700206378012,0.5705700206378012,1.495538554100601,3.976137428181339,6.925595197110468,1018.0,1,2023-02-20 19:14:00
352086529,1677121949,1011930099,江浙真题5--以”变与不变“为题，发表演讲,1676639700,1676618562,5.159055299214529,职业职场,4,27,3,224,0,118,11,19,4833,1,0,27.0,3.0,0.0,243.0,123.0,11.0,22.0,5129.0,5.0,11.189602397854108,5.641907070938114,13101.517730496456,276.4290780141844,1,。,0,5.581585648148148,7.344072850573066,0.0,0.0,0.28768207245178085,1.0216512475319812,6.763749769484677,3.0512117221052573,1.7642743690014335,1.088819878971006,0.4301458015411395,1.482524709385517,3.7167855569877735,5.69035945432406,296.0,5,2023-02-17 21:15:00
352096032,1677120682,1012331587,35岁后的职业生涯到底有多难,1676712600,1676629389,4.976733742420574,职业职场,9,0,0,33,0,62,7,21,2617,1,0,0.0,0.0,0.0,36.0,64.0,8.0,23.0,2866.0,4.0,10.598957034465641,6.796823718274855,3076.863687150838,115.2100558659218,0,。,0,4.723171296296297,9.584360678240886,0.0,0.0,0.15415067982725816,0.9808292530117263,6.31730344373769,2.5746539262526364,0.0,0.9090868771751528,0.0,1.694911733765171,2.0777940701019353,5.517452896464707,249.0,6,2023-02-18 17:30:00
352110172,1677121939,1012315792,员工的忠诚取决于领导自己,1676640000,1676628721,4.770684624465665,职业职场,7,2,0,33,0,41,2,16,1014,1,0,2.0,0.0,0.0,34.0,42.0,2.0,20.0,1099.0,4.0,10.598957034465641,6.796823718274855,3076.863687150838,115.2100558659218,0,。,0,5.577997685185185,9.810800358266986,0.0,0.0,0.0,0.0,5.202828309936024,1.9947421924892035,0.30641913291612016,0.30641913291612016,0.0,1.3528442956374225,1.9338522315834477,4.442651256490317,85.0,5,2023-02-17 21:20:00
352140106,1677117537,1015761899,自动生成一个完整的Revit模型，这是AI干的？！,1676853000,1676811425,5.272999558563747,职业职场,11,46,2,253,0,173,27,321,7739,1,0,48.0,2.0,0.0,277.0,186.0,32.0,344.0,8269.0,6.0,10.686384025239681,6.0063531596017325,4746.564039408867,111.3793103448276,0,？,0,3.0617708333333336,9.952104541538446,0.0,1.0986122886681098,0.7731898882334819,1.8845412026790211,7.83503430698688,4.0342981422142,2.774086681152854,2.284260840263988,0.5027229368535304,4.661940696057376,4.426425255407382,6.272877006546167,530.0,1,2023-02-20 08:30:00
352223965,1677119362,1015143812,VLOOKUP函数核对两个表格，实在太方便啦！,1676790300,1676782920,4.127134385045092,职业职场,10,3,0,63,0,45,5,8,1658,1,0,3.0,0.0,0.0,64.0,45.0,5.0,9.0,1695.0,5.0,11.971311874875774,4.51085950651685,30234.86813186813,616.967032967033,1,！,0,3.808587962962963,6.469560346251054,1.0986122886681098,0.0,0.5108256237659906,0.0,6.076108828646296,2.4694039827213756,0.5809262440304637,0.8384686434317896,0.0,1.131568553180874,2.864573127550034,3.6109179126442243,37.0,7,2023-02-19 15:05:00
352242376,1677115778,1017604601,课堂常规｜「自主预习」正确打开方式✅,1676907373,1676907373,5.170483995038151,职业职场,6,8,1,39,0,153,3,4,1873,1,0,10.0,1.0,0.0,52.0,174.0,4.0,4.0,2203.0,6.0,11.271656129671937,4.9344739331306915,127539.53237410072,5975.194244604317,1,。,0,2.412094907407408,12.593551409234648,0.0,0.0,0.0,0.6931471805599453,6.654801076340241,4.149942295288588,1.4624724761816463,0.8081406205268016,0.34683081890878265,0.9776904100634567,2.8430773595825616,5.799092654460526,330.0,1,2023-02-20 23:36:13
352304959,1677112687,1019562188,【对啊网】Excel小技巧——区分单元格红/黄小三角,1677029026,1677029026,4.248495242049359,职业职场,10,1,0,5,0,6,0,0,588,1,0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,645.0,6.0,13.821547300115554,6.842683282238422,46466.3628601921,764.2027748132338,1,。,0,0.9682986111111112,6.2426122948317895,0.0,0.0,0.0,0.0,6.408941704622346,1.823974225951774,0.7093842771316158,0.0,0.0,0.0,1.818676653747297,4.04305126783455,57.0,3,2023-02-22 09:23:46
352339319,1677111514,1019987415,我第一次开除小白兔的经历，希望能带给你启发,1677064800,1677048405,5.552959584921617,职业职场,10,4,6,32,0,90,3,12,1734,1,0,8.0,10.0,0.0,73.0,213.0,32.0,21.0,6792.0,4.0,10.598957034465641,6.796823718274855,3076.863687150838,115.2100558659218,0,。,0,0.5406712962962963,10.529294958776491,0.0,0.0,0.0,0.5108256237659906,8.073129927535213,5.11475344052499,2.128018633937711,1.8792601110847034,2.4929835750898497,3.1439208363667155,4.097434501652858,8.52872642722991,5058.0,3,2023-02-22 19:20:00
394357493,1677111710,1006347117,2.22遴选申论｜2023年要上岸的朋友！速冲！（一整年考点）,1677060000,1676291004,6.421622267806518,职业职场,6,15,2,43,0,43,5,7,1099,1,0,23.0,2.0,0.0,73.0,78.0,9.0,16.0,2191.0,5.0,11.052555284692732,5.594711379601839,6939.085501858736,210.60594795539035,0,！,0,0.5984953703703704,6.36015040371285,1.0986122886681098,0.6931471805599453,0.5108256237659906,0.5108256237659906,7.515492443805501,4.2745366050954425,3.2605109483884274,2.2358343671785734,1.4682690632119937,2.5412867395111705,4.2883591293075,6.9957661563048505,1092.0,3,2023-02-22 18:00:00
394420559,1677123961,1010974037,遴选92.6分的答案，希望对备考公务员面试的大家有帮助,1676552851,1676552851,4.564348191467836,职业职场,4,535,6,967,0,793,51,73,33472,1,0,566.0,6.0,0.0,1082.0,861.0,52.0,87.0,37588.0,3.0,10.853947800180379,3.6635616461296463,35466.307692307695,1130.6410256410256,0,。,0,6.610069444444444,10.837397156498737,2.4849066497880004,0.0,0.8407831793660098,2.3978952727983707,8.529870387648797,4.787229061859051,4.4059521536812785,2.1651032093912095,0.645901497279003,2.4885464256323666,4.992416724330114,8.32263709695394,4116.0,4,2023-02-16 21:07:31
394423599,1677118222,1010333712,【底稿篇】20 应付职工薪酬 新人第一年必做科目 相关程序及注意事项（下）,1676810416,1676526021,6.040254711277414,职业职场,11,21,10,21,0,64,2,3,847,1,0,25.0,12.0,0.0,22.0,68.0,2.0,3.0,908.0,6.0,11.08328036286033,5.14166355650266,12914.397660818711,488.8187134502924,1,。,0,3.562569444444444,11.911588704853402,0.0,0.6931471805599453,0.0,0.6931471805599453,5.471218656069888,2.888401044777505,1.9307416782980518,0.4455780932267689,1.3368317130331033,0.6109001712901679,1.9307416782980518,4.110873864173311,61.0,7,2023-02-19 20:40:16
394441363,1677116321,1010191650,去有风的地方：每个人的生活，都需要一点呼吸感,1676889960,1676519984,5.420534999272286,职业职场,5,2,0,11,0,40,1,5,463,1,0,3.0,0.0,0.0,11.0,42.0,1.0,7.0,517.0,5.0,11.624323716760284,4.948759890378168,57971.624113475176,4454.560283687943,0,。,0,2.6199189814814816,10.6028255305038,0.0,0.0,0.0,0.0,5.174583659890029,2.7257360599177307,0.5672337742678064,0.3233082505847996,0.0,1.0676223430943141,1.6483899580112482,3.9889840465642745,54.0,1,2023-02-20 18:46:00
394508374,1677120615,1013735803,【公务员遴选笔试】被暴力拆除的对联，透露了一个基层真相,1676714400,1676707966,4.90527477843843,职业职场,9,3,0,7,0,22,1,0,394,1,0,3.0,0.0,0.0,7.0,23.0,1.0,0.0,407.0,5.0,11.92082760111181,7.065613363597717,10479.456874466268,536.6771989752349,1,。,0,4.7015625,8.355536635065867,0.0,0.0,0.0,0.0,4.428456009021606,1.5431475530819883,0.4935283300753325,0.19284535980640244,0.0,0.0,0.9118274796193219,2.5649493574615367,13.0,6,2023-02-18 18:00:00
394580370,1677120365,1013222044,职场不被淘汰的秘籍，专业能力不够强的人怎么晋升？,1676722500,1676688518,5.424950017481403,职业职场,8,70,21,374,0,517,18,77,24788,1,0,75.0,24.0,0.0,388.0,542.0,20.0,81.0,26959.0,5.0,11.658038283231855,5.225746673713202,38950.62903225807,1132.9247311827958,0,？,0,4.6049189814814815,9.680570538060511,0.0,0.0,0.11778303565638346,2.169053700369523,8.590989868127439,4.720917798553869,2.785081367170899,1.5910424606883278,1.7156594047870695,2.8747644658344393,4.409368155291679,7.682943169878292,2171.0,6,2023-02-18 20:15:00
394582318,1677120611,1013359073,教师掌握4大技能，主业副业两不误,1676714400,1676691051,5.883322388488279,职业职场,9,170,7,592,0,751,49,29,13780,1,0,172.0,7.0,0.0,607.0,765.0,49.0,33.0,14482.0,6.0,13.0061081740176,5.117993812416755,112370.8263473054,3537.88622754491,1,。,0,4.701516203703704,9.416685844481178,2.1972245773362196,0.0,0.5996211225491218,2.316769727986002,7.983088491342007,5.073520598538492,3.6151938427759838,2.4355561825964265,0.9118333702421473,1.9696577743284245,4.8435319622807365,6.553933404025811,702.0,6,2023-02-18 18:00:00
394600289,1677120231,1013340219,2023个人在淘宝开店创业的前景如何？,1676727000,1676689627,5.262690188904886,职业职场,10,26,2,47,0,105,21,7,3588,1,0,26.0,2.0,0.0,50.0,114.0,21.0,7.0,3935.0,5.0,10.922027966438678,6.214608098422191,5455.296,117.466,1,？,0,4.551284722222222,5.149817358229593,1.0986122886681098,0.0,0.965080896043587,0.6931471805599453,6.669940673538575,3.1385508005174114,1.9039971881938493,1.725278048415616,0.36425162157124313,0.9313871125031729,2.427167582378893,5.849324779946859,347.0,6,2023-02-18 21:30:00
394620546,1677121904,1011962429,vlookup分段查询匹配-Excel函数入门到实战制作自动化报表模板之(四),1676640600,1676619558,4.812184355372417,职业职场,11,2,0,18,0,20,2,1,385,1,0,2.0,0.0,0.0,18.0,21.0,2.0,1.0,394.0,5.0,11.424214462617174,6.361302477572996,2457.20725388601,67.67012089810017,1,。,0,5.570648148148148,10.198163293991508,0.6931471805599453,0.0,0.6931471805599453,0.0,4.235731922998416,1.2782208622646225,0.30676727312198454,0.30676727312198454,0.0,0.1651010690274662,1.442490804141346,2.1972245773362196,9.0,5,2023-02-17 21:30:00
394632566,1677115025,1018030129,PPT里的重点数据，别再只会标红了！,1676953800,1676945784,5.402677381872279,职业职场,11,506,124,1464,0,1265,32,126,82790,1,0,623.0,128.0,0.0,1899.0,1572.0,37.0,161.0,107529.0,6.0,11.854157782978103,4.04305126783455,67841.57894736843,2594.157894736842,1,！,0,1.8660300925925928,9.395891556388737,1.3862943611198906,1.9459101490553132,0.4054651081081644,1.9393954680341194,10.70024933104642,6.519014172075189,5.606404463421568,2.8985992207346194,4.211404858976944,4.227169846821541,6.666388264527166,10.116136224757685,24739.0,2,2023-02-21 12:30:00
